#{"t_start": 1776228231.9617386, "env_id": "None"}
r,l,t
3.737117,12,3.570003
3.029158,12,3.617092
3.605502,12,3.658279
3.494609,12,3.701208
3.054261,12,3.741516
6.106512,12,3.791984
4.281426,12,3.841492
3.268096,12,3.883108
4.424919,12,3.924327
3.938481,12,3.976428
4.748037,12,4.025873
5.798546,12,4.079001
4.305722,12,4.125443
2.675433,12,4.16797
3.402713,12,4.208306
3.776304,12,4.261671
4.937395,12,4.291183
2.21499,12,4.319937
4.31968,12,4.357605
3.176635,12,4.402297
3.026886,12,4.4458
4.46921,12,4.49287
2.463702,12,4.536784
3.137757,12,4.587721
3.474453,12,4.627675
3.673969,12,4.694491
5.025423,12,4.727344
4.287795,12,4.777213
3.263598,12,4.812814
3.240329,12,4.840289
3.600372,12,4.88376
4.62693,12,4.925874
4.778502,12,4.962997
3.919568,12,4.987671
6.499852,12,5.020062
3.068494,12,5.04617
4.398717,12,5.083366
3.85662,12,5.134154
3.7002,12,5.18052
2.859262,12,5.213305
3.696397,12,5.232756
4.437649,12,5.266021
3.896985,12,5.77732
2.997779,12,5.813832
4.86683,12,5.849319
4.765359,12,5.881462
4.17393,12,5.916112
4.875428,12,5.949823
6.513962,12,5.977303
2.821449,12,6.024317
2.985661,12,6.068671
4.346745,12,6.094097
4.545488,12,6.124932
5.603799,12,6.152672
4.026616,12,6.183761
3.67085,12,6.218026
5.086508,12,6.249139
5.584683,12,6.28338
3.613263,12,6.316753
4.745705,12,6.346531
1.925524,12,6.379793
4.087054,12,6.401062
3.994991,12,6.431346
4.414308,12,6.466042
2.907196,12,6.496339
3.702906,12,6.516471
4.617734,12,6.546109
3.403665,12,6.585493
4.175386,12,6.615636
5.511232,12,6.645952
4.529759,12,6.684803
5.092776,12,6.716587
2.573331,12,6.767642
4.333743,12,6.810655
3.181252,12,6.833741
3.246385,12,6.875613
4.730996,12,6.916355
3.348292,12,6.946465
2.510009,12,6.977057
4.002182,12,7.006658
4.094877,12,7.036741
3.897046,12,7.067352
3.922973,12,7.097674
5.044336,12,7.127797
2.929381,12,7.157516
4.628172,12,7.490319
4.06213,12,7.529629
3.58127,12,7.563215
2.899419,12,7.598583
4.114053,12,7.621797
4.068199,12,7.658294
1.732002,12,7.680979
3.850448,12,7.722208
4.153876,12,7.742459
