episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,3.737117,3.737117,3.570003
2,24,12,3.029158,3.383138,3.617092
3,36,12,3.605502,3.457259,3.658279
4,48,12,3.494609,3.466597,3.701208
5,60,12,3.054261,3.384129,3.741516
6,72,12,6.106512,3.837860,3.791984
7,84,12,4.281426,3.901226,3.841492
8,96,12,3.268096,3.822085,3.883108
9,108,12,4.424919,3.889067,3.924327
10,120,12,3.938481,3.894008,3.976428
11,132,12,4.748037,3.971647,4.025873
12,144,12,5.798546,4.123889,4.079001
13,156,12,4.305722,4.137876,4.125443
14,168,12,2.675433,4.033416,4.167970
15,180,12,3.402713,3.991369,4.208306
16,192,12,3.776304,3.977927,4.261671
17,204,12,4.937395,4.034367,4.291183
18,216,12,2.214990,3.933290,4.319937
19,228,12,4.319680,3.953626,4.357605
20,240,12,3.176635,3.914777,4.402297
21,252,12,3.026886,3.872496,4.445800
22,264,12,4.469210,3.899620,4.492870
23,276,12,2.463702,3.837188,4.536784
24,288,12,3.137757,3.808045,4.587721
25,300,12,3.474453,3.794702,4.627675
26,312,12,3.673969,3.792176,4.694491
27,324,12,5.025423,3.872026,4.727344
28,336,12,4.287795,3.899318,4.777213
29,348,12,3.263598,3.890078,4.812814
30,360,12,3.240329,3.897520,4.840289
31,372,12,3.600372,3.797275,4.883760
32,384,12,4.626930,3.811095,4.925874
33,396,12,4.778502,3.871511,4.962997
34,408,12,3.919568,3.851297,4.987671
35,420,12,6.499852,3.953752,5.020062
36,432,12,3.068494,3.886570,5.046170
37,444,12,4.398717,3.830577,5.083366
38,456,12,3.856620,3.812613,5.134154
39,468,12,3.700200,3.853604,5.180520
40,480,12,2.859262,3.831866,5.213305
41,492,12,3.696397,3.828669,5.232756
42,504,12,4.437649,3.808680,5.266021
43,516,12,3.896985,3.875959,5.777320
44,528,12,2.997779,3.823083,5.813832
45,540,12,4.866830,3.890691,5.849319
46,552,12,4.765359,3.960230,5.881462
47,564,12,4.173930,3.948419,5.916112
48,576,12,4.875428,4.044888,5.949823
49,588,12,6.513962,4.179936,5.977303
50,600,12,2.821449,4.153816,6.024317
51,612,12,2.985661,4.126284,6.068671
52,624,12,4.346745,4.099137,6.094097
53,636,12,4.545488,4.109444,6.124932
54,648,12,5.603799,4.203052,6.152672
55,660,12,4.026616,4.234504,6.183761
56,672,12,3.670850,4.237323,6.218026
57,684,12,5.086508,4.255706,6.249139
58,696,12,5.584683,4.287953,6.283380
59,708,12,3.613263,4.275701,6.316753
60,720,12,4.745705,4.205535,6.346531
61,732,12,1.925524,4.159816,6.379793
62,744,12,4.087054,4.147350,6.401062
63,756,12,3.994991,4.152885,6.431346
