episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,-0.156997,-0.156997,6.833026
2,24,12,-0.123782,-0.140390,6.875690
3,36,12,-0.095285,-0.125355,6.926294
4,48,12,-0.107173,-0.120809,6.970618
5,60,12,-0.112886,-0.119225,7.022429
6,72,12,-0.122534,-0.119776,7.076112
7,84,12,-0.133198,-0.121694,7.121941
8,96,12,-0.128607,-0.122558,7.163127
9,108,12,-0.144277,-0.124971,7.214804
10,120,12,-0.124740,-0.124948,7.254745
11,132,12,-0.167515,-0.128818,7.297862
12,144,12,-0.146395,-0.130282,7.338988
13,156,12,-0.146888,-0.131560,7.385272
14,168,12,-0.128354,-0.131331,7.424329
15,180,12,-0.113315,-0.130130,7.473857
16,192,12,-0.165300,-0.132328,7.539484
17,204,12,-0.141712,-0.132880,7.596375
18,216,12,-0.110289,-0.131625,7.649886
19,228,12,-0.169497,-0.133618,7.696910
20,240,12,-0.147252,-0.134300,7.744761
21,252,12,-0.109551,-0.133121,7.792841
22,264,12,-0.149152,-0.133850,7.845233
23,276,12,-0.139319,-0.134088,7.893781
24,288,12,-0.101235,-0.132719,7.944451
25,300,12,-0.117123,-0.132095,8.003699
26,312,12,-0.145880,-0.131650,8.052835
27,324,12,-0.134656,-0.132085,8.098281
28,336,12,-0.161324,-0.134727,8.141361
29,348,12,-0.157259,-0.136730,8.192736
30,360,12,-0.116584,-0.136878,8.245452
31,372,12,-0.127952,-0.137095,8.302750
32,384,12,-0.147319,-0.137660,8.360862
33,396,12,-0.119987,-0.137315,8.422199
34,408,12,-0.136348,-0.136998,8.474602
35,420,12,-0.152581,-0.138111,8.527541
36,432,12,-0.122910,-0.136327,8.579911
37,444,12,-0.134529,-0.135853,8.631326
38,456,12,-0.115865,-0.134612,8.686922
39,468,12,-0.131274,-0.134729,8.734588
40,480,12,-0.110873,-0.134631,8.788074
41,492,12,-0.118080,-0.132742,8.834156
42,504,12,-0.127176,-0.132161,8.889895
43,516,12,-0.135522,-0.133170,9.560801
44,528,12,-0.136640,-0.131856,9.606143
45,540,12,-0.143986,-0.131725,9.650548
46,552,12,-0.117687,-0.132050,9.697120
47,564,12,-0.145635,-0.131910,9.748833
48,576,12,-0.123271,-0.131268,9.788532
49,588,12,-0.158475,-0.133557,9.831690
50,600,12,-0.158260,-0.135203,9.874924
51,612,12,-0.141870,-0.135043,9.923599
52,624,12,-0.117550,-0.134358,9.972588
53,636,12,-0.141245,-0.133555,10.014890
54,648,12,-0.136337,-0.132718,10.058583
55,660,12,-0.164577,-0.134638,10.101722
56,672,12,-0.142271,-0.135211,10.143969
57,684,12,-0.142468,-0.135017,10.183042
58,696,12,-0.123660,-0.135164,10.223416
59,708,12,-0.160989,-0.136149,10.266721
60,720,12,-0.101002,-0.134086,10.305939
61,732,12,-0.119282,-0.133941,10.352070
62,744,12,-0.131577,-0.133823,10.397066
63,756,12,-0.116556,-0.133851,10.444190
64,768,12,-0.148934,-0.134557,10.495764
65,780,12,-0.118027,-0.134843,10.558920
66,792,12,-0.123788,-0.135071,10.621209
67,804,12,-0.109798,-0.134376,10.675697
68,816,12,-0.131418,-0.134212,10.731610
69,828,12,-0.153129,-0.134872,10.773862
