#{"t_start": 1776063288.7117288, "env_id": "None"}
r,l,t
-0.156997,12,6.833026
-0.123782,12,6.87569
-0.095285,12,6.926294
-0.107173,12,6.970618
-0.112886,12,7.022429
-0.122534,12,7.076112
-0.133198,12,7.121941
-0.128607,12,7.163127
-0.144277,12,7.214804
-0.12474,12,7.254745
-0.167515,12,7.297862
-0.146395,12,7.338988
-0.146888,12,7.385272
-0.128354,12,7.424329
-0.113315,12,7.473857
-0.1653,12,7.539484
-0.141712,12,7.596375
-0.110289,12,7.649886
-0.169497,12,7.69691
-0.147252,12,7.744761
-0.109551,12,7.792841
-0.149152,12,7.845233
-0.139319,12,7.893781
-0.101235,12,7.944451
-0.117123,12,8.003699
-0.14588,12,8.052835
-0.134656,12,8.098281
-0.161324,12,8.141361
-0.157259,12,8.192736
-0.116584,12,8.245452
-0.127952,12,8.30275
-0.147319,12,8.360862
-0.119987,12,8.422199
-0.136348,12,8.474602
-0.152581,12,8.527541
-0.12291,12,8.579911
-0.134529,12,8.631326
-0.115865,12,8.686922
-0.131274,12,8.734588
-0.110873,12,8.788074
-0.11808,12,8.834156
-0.127176,12,8.889895
-0.135522,12,9.560801
-0.13664,12,9.606143
-0.143986,12,9.650548
-0.117687,12,9.69712
-0.145635,12,9.748833
-0.123271,12,9.788532
-0.158475,12,9.83169
-0.15826,12,9.874924
-0.14187,12,9.923599
-0.11755,12,9.972588
-0.141245,12,10.01489
-0.136337,12,10.058583
-0.164577,12,10.101722
-0.142271,12,10.143969
-0.142468,12,10.183042
-0.12366,12,10.223416
-0.160989,12,10.266721
-0.101002,12,10.305939
-0.119282,12,10.35207
-0.131577,12,10.397066
-0.116556,12,10.44419
-0.148934,12,10.495764
-0.118027,12,10.55892
-0.123788,12,10.621209
-0.109798,12,10.675697
-0.131418,12,10.73161
-0.153129,12,10.773862
-0.129638,12,10.821983
-0.116044,12,10.86442
-0.139263,12,10.90744
-0.112118,12,10.951711
-0.156241,12,10.996243
-0.146442,12,11.04052
-0.11927,12,11.08404
-0.114639,12,11.131584
-0.121534,12,11.174793
-0.132751,12,11.217847
-0.133384,12,11.260361
-0.137469,12,11.311057
-0.134412,12,11.35978
-0.104244,12,11.409657
-0.139461,12,11.454201
-0.116485,12,11.503595
-0.104842,12,12.014307
-0.165526,12,12.058509
-0.115659,12,12.10435
-0.124919,12,12.146842
-0.183826,12,12.195554
-0.125702,12,12.236382
-0.155822,12,12.274896
-0.109069,12,12.313899
-0.162906,12,12.357296
-0.13176,12,12.413862
-0.121589,12,12.459502
-0.16744,12,12.509581
-0.133421,12,12.558527
-0.109766,12,12.601525
-0.11696,12,12.64561
-0.148216,12,12.693009
-0.159618,12,12.751708
-0.163065,12,12.805662
-0.155074,12,12.878488
-0.134065,12,12.925827
-0.12797,12,12.980818
-0.110411,12,13.050949
-0.132355,12,13.102469
-0.146105,12,13.187658
-0.129508,12,13.246462
-0.123206,12,13.301978
-0.128843,12,13.357695
-0.160348,12,13.400816
-0.124017,12,13.450589
-0.151798,12,13.502131
-0.127225,12,13.554011
-0.125901,12,13.607617
-0.173538,12,13.658796
-0.110463,12,13.721709
-0.133454,12,13.776565
-0.148405,12,13.824584
-0.158073,12,13.867035
-0.115031,12,13.9159
-0.143067,12,13.97563
-0.131538,12,14.048141
-0.161685,12,14.114904
-0.117251,12,14.171228
-0.12185,12,14.228504
-0.12167,12,14.79381
-0.168503,12,14.849051
-0.134433,12,14.907475
-0.119079,12,14.969026
-0.132277,12,15.032795
-0.173197,12,15.09199
-0.147074,12,15.150802
-0.133059,12,15.212567
-0.122916,12,15.267521
-0.146066,12,15.332576
-0.133353,12,15.386965
-0.122944,12,15.437778
-0.128363,12,15.493792
-0.140425,12,15.547109
-0.122865,12,15.601852
-0.136,12,15.659665
-0.148897,12,15.711239
-0.12499,12,15.76474
-0.148231,12,15.823698
-0.185579,12,15.870215
-0.151108,12,15.914881
-0.114767,12,15.961329
-0.163345,12,16.010616
-0.112774,12,16.061533
-0.1123,12,16.104004
-0.113145,12,16.147516
-0.116136,12,16.188521
-0.161217,12,16.230456
-0.149045,12,16.275376
-0.152937,12,16.33304
-0.130185,12,16.37623
-0.140612,12,16.425385
-0.16414,12,16.4755
-0.143932,12,16.522565
-0.114353,12,16.577914
-0.110682,12,16.621653
-0.151196,12,16.669621
-0.11902,12,16.70963
-0.119911,12,16.751524
-0.150973,12,16.795525
-0.154561,12,16.847269
-0.122058,12,16.892473
-0.134635,12,17.38876
-0.148142,12,17.441675
-0.125939,12,17.494423
-0.121496,12,17.539699
-0.115499,12,17.585279
-0.116367,12,17.630593
-0.127465,12,17.685629
-0.136093,12,17.764812
-0.153557,12,17.821385
-0.137919,12,17.884644
-0.167482,12,17.947916
-0.148185,12,17.998426
-0.117447,12,18.051891
-0.140517,12,18.103082
-0.136065,12,18.147968
-0.11425,12,18.191278
-0.144623,12,18.243888
-0.143555,12,18.300864
-0.166703,12,18.351257
-0.133872,12,18.404099
-0.108293,12,18.454973
-0.11666,12,18.503811
-0.148827,12,18.576284
-0.123828,12,18.649265
-0.146339,12,18.707166
-0.106391,12,18.76239
-0.123142,12,18.812406
-0.131646,12,18.85586
-0.13046,12,18.899868
-0.105387,12,18.94464
-0.122222,12,18.993727
-0.116382,12,19.03709
-0.132432,12,19.081247
-0.116225,12,19.126825
-0.116183,12,19.176585
-0.148343,12,19.215194
-0.173231,12,19.260422
-0.119981,12,19.306439
-0.125542,12,19.353976
-0.12069,12,19.40746
-0.140399,12,19.459756
-0.125453,12,19.515444
-0.126765,12,19.565606
-0.154593,12,20.087801
-0.130913,12,20.130798
-0.109815,12,20.17926
-0.138647,12,20.223828
-0.16755,12,20.26286
-0.126167,12,20.304859
-0.142487,12,20.35179
-0.123374,12,20.396789
-0.116101,12,20.444668
-0.124382,12,20.492941
-0.162664,12,20.542981
-0.126686,12,20.586494
-0.130212,12,20.630749
-0.133298,12,20.674476
-0.144888,12,20.722618
-0.115168,12,20.765976
-0.108016,12,20.808597
-0.141876,12,20.856851
-0.111475,12,20.907552
-0.131444,12,20.966757
-0.112115,12,21.011353
-0.137271,12,21.060871
-0.121891,12,21.103878
-0.130973,12,21.14688
-0.166769,12,21.189393
-0.142353,12,21.23031
-0.138444,12,21.273259
-0.153602,12,21.315274
-0.127272,12,21.357299
-0.110657,12,21.398049
-0.151926,12,21.445294
-0.147325,12,21.490213
-0.11165,12,21.546532
-0.154924,12,21.600837
-0.118419,12,21.66421
-0.134171,12,21.719538
-0.143192,12,21.778887
-0.158076,12,21.8272
-0.140916,12,21.881027
-0.120286,12,21.933501
-0.108457,12,21.988088
-0.120816,12,22.037198
-0.128714,12,22.084126
-0.150604,12,22.590055
-0.11921,12,22.644475
-0.142739,12,22.700036
-0.143435,12,22.76188
-0.129967,12,22.821934
-0.112172,12,22.884882
-0.135166,12,22.95704
-0.152542,12,23.01704
-0.124067,12,23.069912
-0.121238,12,23.122776
-0.155527,12,23.177563
-0.125832,12,23.22726
-0.122298,12,23.280654
-0.106366,12,23.33001
-0.1921,12,23.38586
-0.116398,12,23.458608
-0.116423,12,23.537213
-0.110918,12,23.616675
-0.128584,12,23.694737
-0.162067,12,23.776339
-0.148737,12,23.849108
-0.148678,12,23.908871
-0.130315,12,23.971674
-0.119103,12,24.024675
-0.118069,12,24.072948
-0.104283,12,24.120024
-0.10692,12,24.162796
-0.11412,12,24.207116
-0.120791,12,24.247893
-0.109661,12,24.290738
-0.122149,12,24.340227
-0.154109,12,24.389066
-0.15106,12,24.440799
-0.137826,12,24.493393
-0.119445,12,24.548549
-0.158755,12,24.593484
-0.158845,12,24.644836
-0.151412,12,24.694513
-0.140731,12,24.742402
-0.139691,12,24.793424
-0.118294,12,24.841418
-0.132455,12,24.885928
-0.108266,12,25.414602
-0.135206,12,25.473824
-0.132585,12,25.534599
-0.120208,12,25.579663
-0.128264,12,25.631012
-0.14562,12,25.679601
-0.144207,12,25.724904
-0.158807,12,25.77224
-0.1336,12,25.815654
-0.213746,12,25.865991
-0.138993,12,25.910379
-0.137416,12,25.961235
-0.204405,12,26.026262
-0.107763,12,26.085453
-0.163744,12,26.133057
-0.141508,12,26.184069
-0.143754,12,26.230013
-0.142866,12,26.276263
-0.146672,12,26.318856
-0.154129,12,26.359797
-0.132935,12,26.407318
-0.110844,12,26.450073
-0.121382,12,26.50184
-0.132048,12,26.555165
-0.108856,12,26.610798
-0.12266,12,26.663452
-0.154866,12,26.715392
-0.130829,12,26.774313
-0.110049,12,26.832938
-0.112832,12,26.892101
-0.133752,12,26.958456
-0.131453,12,27.017087
-0.10565,12,27.078289
-0.127747,12,27.149395
