#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
5.580061,12,29.551672
5.470103,12,29.604191
5.554696,12,29.66745
6.180995,12,29.725422
6.133135,12,29.778451
5.718336,12,29.870081
6.516012,12,29.935573
4.871185,12,30.000164
5.522708,12,30.096052
5.756008,12,30.176868
4.766469,12,30.252865
5.871608,12,30.355664
5.567496,12,30.447934
5.454752,12,30.527463
4.714678,12,30.622777
5.411411,12,30.680638
4.760767,12,30.753355
5.000793,12,30.824539
5.568271,12,30.897287
5.066546,12,30.973918
4.00391,12,31.05207
5.746057,12,31.178992
4.415401,12,31.277138
5.786843,12,31.367809
5.622162,12,31.451059
4.386444,12,31.520447
5.758213,12,31.600865
4.944455,12,31.663885
5.005175,12,31.719589
6.252928,12,31.798145
5.917424,12,31.871324
5.187729,12,31.932002
4.472614,12,31.993397
6.724469,12,32.051836
5.754971,12,32.764189
5.003399,12,32.81201
5.151732,12,32.877327
6.248863,12,32.941523
5.517475,12,33.018443
5.197459,12,33.09346
5.536736,12,33.157502
5.18226,12,33.215604
5.432976,12,33.263705
5.567824,12,33.315397
5.491271,12,33.374196
5.587783,12,33.433071
6.498433,12,33.484829
4.936846,12,33.570655
4.561315,12,33.634691
5.56126,12,33.698324
4.877638,12,33.751319
5.388936,12,33.808612
4.270714,12,33.858915
5.249335,12,33.904633
4.772289,12,33.967526
4.828876,12,34.028731
5.739721,12,34.081584
6.215316,12,34.128885
4.73031,12,34.189457
4.94624,12,34.24674
5.385751,12,34.301638
5.443791,12,34.351204
5.92639,12,34.399722
4.652223,12,34.443341
4.848857,12,34.492709
5.180384,12,34.545372
5.280268,12,34.599711
6.340223,12,34.645826
4.443571,12,34.694206
5.449489,12,34.745375
5.197023,12,34.794052
5.829482,12,34.845527
5.962537,12,34.890374
4.614654,12,34.945565
6.244303,12,34.996306
4.309811,12,35.053252
4.918104,12,35.105262
4.437185,12,35.815054
5.524501,12,35.870473
5.192339,12,35.924355
5.733716,12,35.980527
5.125986,12,36.038983
5.857404,12,36.090763
5.510232,12,36.21268
4.895112,12,36.351602
5.677444,12,36.419168
5.223489,12,36.480536
4.874395,12,36.532287
3.666725,12,36.595379
4.56281,12,36.660747
3.852365,12,36.728956
5.057246,12,36.799186
5.650791,12,36.882759
6.14018,12,36.970414
5.508059,12,37.029052
6.841895,12,37.105784
3.575418,12,37.179772
4.735344,12,37.264517
6.086261,12,37.309016
5.709526,12,37.364639
6.611497,12,37.431225
5.775437,12,37.510255
5.778292,12,37.56649
6.334263,12,37.628398
4.430549,12,37.68667
4.886921,12,37.740939
6.037878,12,37.80563
5.219963,12,37.868829
6.042516,12,37.92725
5.54109,12,37.993355
4.978477,12,38.060094
5.84136,12,38.127574
5.492876,12,38.19895
5.914659,12,38.268386
6.026672,12,38.334249
5.623735,12,38.386796
3.996998,12,38.448618
5.953067,12,38.503461
6.343487,12,38.561662
5.203339,12,38.635143
4.904306,12,39.345851
6.120971,12,39.409597
4.183157,12,39.482204
4.497156,12,39.543942
5.075001,12,39.607511
6.315962,12,39.670192
4.390431,12,39.744203
4.821427,12,39.815964
5.689116,12,39.884358
5.138344,12,39.955187
5.605932,12,40.027234
