episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,5.614240,5.614240,10.334621
2,24,12,5.734550,5.674395,10.398729
3,36,12,4.970454,5.439748,10.463539
4,48,12,5.616685,5.483982,10.528580
5,60,12,3.119569,5.011100,10.587090
6,72,12,5.975384,5.171814,10.644013
7,84,12,6.010135,5.291574,10.694265
8,96,12,3.703895,5.093114,10.750118
9,108,12,4.881565,5.069609,10.812726
10,120,12,5.304512,5.093099,10.873944
11,132,12,5.156486,5.098861,10.932992
12,144,12,5.061521,5.095750,10.987132
13,156,12,5.895749,5.157288,11.055695
14,168,12,5.042278,5.149073,11.111048
15,180,12,4.668304,5.117022,11.173106
16,192,12,5.850528,5.162866,11.226009
17,204,12,5.476869,5.181337,11.295027
18,216,12,5.582489,5.203623,11.356297
19,228,12,5.532403,5.220927,11.430959
20,240,12,5.173309,5.218546,11.495976
21,252,12,5.485434,5.231255,11.548344
22,264,12,5.110569,5.225769,11.600116
23,276,12,4.512125,5.194741,11.658366
24,288,12,4.173513,5.152190,11.709033
25,300,12,4.498271,5.126033,11.764544
26,312,12,5.498751,5.121414,11.812835
27,324,12,5.695788,5.119863,11.860540
28,336,12,5.615503,5.145665,11.906636
29,348,12,4.919689,5.117786,11.956521
30,360,12,5.615996,5.217643,12.008029
31,372,12,5.687332,5.206121,12.053766
32,384,12,5.116755,5.170385,12.130324
33,396,12,5.861880,5.256705,12.187160
34,408,12,4.006077,5.221685,12.253663
35,420,12,5.126480,5.214564,12.318996
36,432,12,5.431138,5.225550,12.389707
37,444,12,5.145152,5.228895,12.443588
38,456,12,4.641827,5.178738,12.506119
39,468,12,4.030918,5.138284,12.554099
40,480,12,4.839623,5.145137,12.600569
41,492,12,5.535079,5.132519,12.656685
42,504,12,5.391432,5.129101,12.715685
43,516,12,4.583917,5.089158,13.782188
44,528,12,6.123664,5.112809,13.827978
45,540,12,5.356928,5.120154,13.880406
46,552,12,4.695974,5.088575,13.927729
47,564,12,3.580061,5.027355,13.970407
48,576,12,5.929889,5.084065,14.016512
49,588,12,5.650798,5.143157,14.059614
50,600,12,5.151508,5.169286,14.113168
51,612,12,4.989529,5.148917,14.156620
52,624,12,6.071117,5.163931,14.226092
53,636,12,5.253191,5.149438,14.273488
54,648,12,5.703388,5.180786,14.319486
55,660,12,5.887939,5.191664,14.375560
56,672,12,5.446076,5.182014,14.437687
57,684,12,5.852791,5.211455,14.489091
58,696,12,5.762471,5.207479,14.552028
59,708,12,5.278717,5.258384,14.607995
60,720,12,6.289577,5.304908,14.675333
61,732,12,5.480800,5.306895,14.732193
62,744,12,5.768758,5.331839,14.773395
63,756,12,4.541192,5.327813,14.823649
64,768,12,5.739392,5.396152,14.870412
65,780,12,4.295627,5.374393,14.913707
66,792,12,4.772101,5.343873,14.961699
67,804,12,5.031088,5.329460,15.005089
68,816,12,5.841975,5.379782,15.054179
69,828,12,5.094446,5.338613,15.101998
70,840,12,6.003001,5.364456,15.145918
71,852,12,5.579912,5.399814,15.193791
72,864,12,5.338534,5.470153,15.237327
73,876,12,4.527900,5.414073,15.281069
74,888,12,4.692969,5.375760,15.334117
75,900,12,5.031954,5.370978,15.376287
76,912,12,4.204082,5.339560,15.438989
77,924,12,6.147385,5.342611,15.499056
78,936,12,4.783249,5.323813,15.550872
79,948,12,6.034843,5.337071,15.596023
80,960,12,4.724795,5.290545,15.640443
81,972,12,4.851278,5.266753,15.690020
82,984,12,5.937058,5.270124,15.740326
83,996,12,5.578155,5.262752,15.797894
84,1008,12,5.042582,5.253306,15.850035
85,1020,12,5.593472,5.225462,15.904278
86,1032,12,5.365879,5.220865,16.795710
87,1044,12,5.903545,5.226257,16.862772
88,1056,12,6.084211,5.287977,16.923780
89,1068,12,5.092135,5.262087,17.011535
90,1080,12,5.723804,5.319214,17.114403
91,1092,12,3.379856,5.263524,17.207856
92,1104,12,4.761040,5.252722,17.280065
93,1116,12,5.382328,5.234337,17.346747
94,1128,12,5.332670,5.243865,17.397595
95,1140,12,6.082761,5.247056,17.467864
96,1152,12,4.633949,5.209217,17.531119
97,1164,12,4.851283,5.189727,17.589497
98,1176,12,5.914954,5.245209,17.644133
99,1188,12,4.458311,5.235823,17.713882
100,1200,12,5.296350,5.246399,17.785885
101,1212,12,4.814160,5.270802,17.868619
102,1224,12,5.914773,5.261498,17.954663
103,1236,12,5.121649,5.275034,18.029291
104,1248,12,6.003324,5.273773,18.097195
105,1260,12,5.017113,5.285466,18.156375
106,1272,12,5.371120,5.306259,18.213471
