episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
148,1776,12,6.514863,5.447240,12.442697
149,1788,12,4.803000,5.429434,12.487698
150,1800,12,5.853659,5.481940,12.523703
151,1812,12,4.052345,5.440362,12.559794
152,1824,12,5.504934,5.410775,12.593794
153,1836,12,5.375156,5.434701,12.636827
154,1848,12,6.000396,5.465760,12.675827
155,1860,12,4.975827,5.395366,12.720832
156,1872,12,5.882634,5.390978,12.768346
157,1884,12,5.150724,5.357651,12.811349
158,1896,12,5.843820,5.417690,12.847742
159,1908,12,4.865853,5.451320,12.887352
160,1920,12,5.290953,5.431660,12.925354
161,1932,12,5.934101,5.496402,12.957025
162,1944,12,6.137167,5.494281,12.996131
163,1956,12,4.171105,5.426623,13.037574
164,1968,12,5.308268,5.444560,13.074349
165,1980,12,6.516666,5.461773,13.107354
166,1992,12,4.096277,5.407420,13.140291
167,2004,12,4.682168,5.384391,13.171290
168,2016,12,5.486731,5.335172,13.202080
169,2028,12,5.037583,5.296160,13.243504
170,2040,12,4.950809,5.317790,13.282423
171,2052,12,6.042864,5.353094,13.737489
172,2064,12,5.609921,5.363513,13.772116
173,2076,12,3.988252,5.262449,13.805112
174,2088,12,5.626405,5.295385,13.841650
175,2100,12,4.832172,5.254525,13.877654
176,2112,12,5.341385,5.306087,13.911649
177,2124,12,4.666488,5.272549,13.951949
178,2136,12,5.529453,5.278721,14.012017
179,2148,12,4.745079,5.228508,14.058457
180,2160,12,5.368328,5.244208,14.095684
181,2172,12,6.341282,5.262554,14.130326
182,2184,12,6.448878,5.314480,14.164669
183,2196,12,3.843770,5.234478,14.205662
184,2208,12,5.095132,5.243649,14.241036
185,2220,12,4.689719,5.219600,14.281037
186,2232,12,4.947136,5.180122,14.312539
187,2244,12,5.683466,5.161973,14.359251
188,2256,12,6.107149,5.239415,14.392263
189,2268,12,5.696063,5.254927,14.429470
190,2280,12,6.007944,5.234578,14.474107
191,2292,12,4.514874,5.251322,14.510105
192,2304,12,4.359212,5.238404,14.557876
193,2316,12,5.524303,5.239907,14.602366
194,2328,12,4.743509,5.228144,14.634955
195,2340,12,4.512698,5.210619,14.671992
196,2352,12,5.868455,5.203643,14.711416
197,2364,12,5.220424,5.188063,14.753051
198,2376,12,5.890734,5.264162,14.798047
199,2388,12,5.117769,5.243817,14.841898
200,2400,12,5.249201,5.260498,14.878140
201,2412,12,4.012789,5.207354,14.914139
202,2424,12,6.353352,5.274829,14.955081
203,2436,12,5.253852,5.263805,14.996078
204,2448,12,6.506835,5.334275,15.033667
205,2460,12,5.366845,5.334216,15.079753
206,2472,12,5.500199,5.300572,15.116253
207,2484,12,6.286163,5.294064,15.155080
208,2496,12,5.673198,5.367241,15.192828
209,2508,12,5.869258,5.398206,15.226601
210,2520,12,5.298304,5.422549,15.264891
211,2532,12,5.277531,5.435765,15.301532
212,2544,12,4.628840,5.393580,15.337053
213,2556,12,6.055409,5.391510,15.371047
214,2568,12,5.942184,5.401355,15.794495
215,2580,12,6.015716,5.401666,15.849861
216,2592,12,5.474448,5.440049,15.895019
217,2604,12,5.400467,5.481699,15.951055
218,2616,12,6.020806,5.501559,15.997751
219,2628,12,5.914418,5.548396,16.044300
220,2640,12,6.031892,5.609164,16.112763
221,2652,12,5.407892,5.590741,16.157450
222,2664,12,5.160218,5.588333,16.210285
223,2676,12,4.246195,5.522551,16.312348
224,2688,12,4.033502,5.479181,16.352634
225,2700,12,4.322392,5.442108,16.393203
226,2712,12,4.779821,5.472789,16.432225
227,2724,12,5.804867,5.450850,16.472243
228,2736,12,5.539737,5.462285,16.507839
229,2748,12,5.803057,5.434134,16.542347
230,2760,12,4.458531,5.397802,16.576986
231,2772,12,5.470610,5.396618,16.607991
232,2784,12,4.992423,5.344869,16.644721
233,2796,12,6.592614,5.381645,16.674718
234,2808,12,5.612392,5.371371,16.705198
235,2820,12,5.808794,5.391790,16.735199
236,2832,12,5.633025,5.406010,16.773628
237,2844,12,4.036546,5.382318,16.809632
238,2856,12,5.684946,5.367500,16.842628
239,2868,12,5.728596,5.358956,16.883632
240,2880,12,6.414308,5.374900,16.924272
241,2892,12,5.743170,5.385649,16.973878
242,2904,12,5.515379,5.390245,17.012873
243,2916,12,5.890628,5.385038,17.051391
244,2928,12,5.374386,5.363437,17.086392
245,2940,12,5.524365,5.343136,17.118091
246,2952,12,5.373759,5.341770,17.157129
247,2964,12,5.945642,5.373187,17.196135
248,2976,12,4.538369,5.384874,17.229136
249,2988,12,5.304066,5.435697,17.273441
250,3000,12,5.423050,5.479723,17.314443
251,3012,12,6.039680,5.530118,17.349960
252,3024,12,4.547304,5.479815,17.384960
253,3036,12,6.493536,5.517967,17.420960
254,3048,12,5.421587,5.502708,17.459482
255,3060,12,3.704074,5.472530,17.496472
256,3072,12,4.717641,5.442411,17.530502
257,3084,12,6.073353,5.485648,17.951213
258,3096,12,5.029167,5.423111,17.983218
259,3108,12,4.957415,5.396911,18.016214
260,3120,12,5.464797,5.383152,18.047760
261,3132,12,5.171785,5.364702,18.093754
262,3144,12,5.182032,5.410521,18.128828
263,3156,12,6.084269,5.426494,18.162339
264,3168,12,4.637970,5.382869,18.197337
265,3180,12,5.580061,5.349499,18.233354
266,3192,12,5.470103,5.338577,18.271908
267,3204,12,5.554696,5.340149,18.304874
268,3216,12,6.180995,5.351764,18.358558
269,3228,12,6.133135,5.382114,18.410444
270,3240,12,5.718336,5.389873,18.453018
271,3252,12,6.516012,5.435563,18.496263
272,3264,12,4.871185,5.392585,18.541169
273,3276,12,5.522708,5.431958,18.578165
274,3288,12,5.756008,5.450036,18.612483
275,3300,12,4.766469,5.423773,18.651248
276,3312,12,5.871608,5.417050,18.683253
277,3324,12,5.567496,5.457858,18.714252
278,3336,12,5.454752,5.416306,18.751773
279,3348,12,4.714678,5.388030,18.784775
280,3360,12,5.411411,5.456323,18.821775
281,3372,12,4.760767,5.458048,18.857881
282,3384,12,5.000793,5.415146,18.900904
283,3396,12,5.568271,5.436710,18.933993
284,3408,12,5.066546,5.441075,18.972091
285,3420,12,4.003910,5.382640,19.006091
286,3432,12,5.746057,5.405611,19.043125
287,3444,12,4.415401,5.374945,19.081129
288,3456,12,5.786843,5.363048,19.117643
289,3468,12,5.622162,5.402416,19.153378
290,3480,12,4.386444,5.354671,19.194377
291,3492,12,5.758213,5.366196,19.228813
292,3504,12,4.944455,5.341786,19.264344
293,3516,12,5.005175,5.294753,19.296344
294,3528,12,6.252928,5.299545,19.334548
295,3540,12,5.917424,5.307509,19.368058
296,3552,12,5.187729,5.254377,19.409130
297,3564,12,4.472614,5.238434,19.443708
298,3576,12,6.724469,5.286505,19.483489
299,3588,12,5.754971,5.286463,19.908106
300,3600,12,5.003399,5.295941,19.940113
301,3612,12,5.151732,5.267146,19.977493
302,3624,12,6.248863,5.294400,20.020488
303,3636,12,5.517475,5.296909,20.060131
304,3648,12,5.197459,5.316220,20.094457
305,3660,12,5.536736,5.321233,20.129275
306,3672,12,5.182260,5.338093,20.166475
307,3684,12,5.432976,5.355380,20.200104
308,3696,12,5.567824,5.355363,20.241744
309,3708,12,5.491271,5.372352,20.286897
310,3720,12,5.587783,5.435707,20.324545
311,3732,12,6.498433,5.465802,20.360591
312,3744,12,4.936846,5.486659,20.394592
313,3756,12,4.561315,5.437638,20.427491
314,3768,12,5.561260,5.435202,20.463014
315,3780,12,4.877638,5.454850,20.503322
316,3792,12,5.388936,5.440079,20.541834
317,3804,12,4.270714,5.413129,20.581086
318,3816,12,5.249335,5.422896,20.620084
319,3828,12,4.772289,5.363670,20.660433
320,3840,12,4.828876,5.320128,20.698504
321,3852,12,5.739721,5.342208,20.737617
322,3864,12,6.215316,5.411916,20.772120
323,3876,12,4.730310,5.332150,20.808121
324,3888,12,4.946240,5.299800,20.850629
325,3900,12,5.385751,5.315094,20.883668
326,3912,12,5.443791,5.326777,20.915629
327,3924,12,5.926390,5.313878,20.955863
328,3936,12,4.652223,5.279268,20.988881
329,3948,12,4.848857,5.265324,21.021883
330,3960,12,5.180384,5.251070,21.059405
331,3972,12,5.280268,5.254990,21.101404
332,3984,12,6.340223,5.291280,21.150153
333,3996,12,4.443571,5.246310,21.188498
334,4008,12,5.449489,5.244638,21.224013
335,4020,12,5.197023,5.229008,21.274041
336,4032,12,5.829482,5.202250,21.312936
337,4044,12,5.962537,5.243278,21.349963
338,4056,12,4.614654,5.245411,21.386793
339,4068,12,6.244303,5.272733,21.432468
340,4080,12,4.309811,5.250020,21.469562
341,4092,12,4.918104,5.231186,21.514223
342,4104,12,4.437185,5.237845,22.012065
343,4116,12,5.524501,5.248852,22.074389
344,4128,12,5.192339,5.265654,22.147029
345,4140,12,5.733716,5.301848,22.200784
346,4152,12,5.125986,5.277298,22.240913
347,4164,12,5.857404,5.262982,22.289425
348,4176,12,5.510232,5.294179,22.339761
349,4188,12,4.895112,5.292133,22.389532
350,4200,12,5.677444,5.303801,22.434139
351,4212,12,5.223489,5.294989,22.473367
352,4224,12,4.874395,5.252909,22.517372
353,4236,12,3.666725,5.213489,22.567162
354,4248,12,4.562810,5.202047,22.608407
355,4260,12,3.852365,5.148927,22.646959
356,4272,12,5.057246,5.140006,22.685959
357,4284,12,5.650791,5.112429,22.725055
358,4296,12,6.140180,5.180293,22.771281
359,4308,12,5.508059,5.182636,22.818438
360,4320,12,6.841895,5.248431,22.857042
361,4332,12,3.575418,5.158268,22.892273
362,4344,12,4.735344,5.109180,22.924322
363,4356,12,6.086261,5.168045,22.959393
364,4368,12,5.709526,5.146654,23.000332
365,4380,12,6.611497,5.238721,23.032336
366,4392,12,5.775437,5.273014,23.070505
367,4404,12,5.778292,5.326659,23.104505
368,4416,12,6.334263,5.359049,23.138980
369,4428,12,4.430549,5.328577,23.175514
370,4440,12,4.886921,5.294706,23.207388
371,4452,12,6.037878,5.331181,23.241389
372,4464,12,5.219963,5.305684,23.272565
373,4476,12,6.042516,5.326975,23.308158
374,4488,12,5.541090,5.352814,23.342165
375,4500,12,4.978477,5.324855,23.375676
376,4512,12,5.841360,5.349570,23.415449
377,4524,12,5.492876,5.374310,23.457554
378,4536,12,5.914659,5.464227,23.493135
379,4548,12,6.026672,5.522781,23.523293
380,4560,12,5.623735,5.593636,23.554644
381,4572,12,3.996998,5.551226,23.586649
382,4584,12,5.953067,5.563317,23.619644
383,4596,12,6.343487,5.571450,23.655793
384,4608,12,5.203339,5.559261,23.693789
385,4620,12,4.904306,5.481757,24.090268
386,4632,12,6.120971,5.583579,24.122656
387,4644,12,4.183157,5.561492,24.159181
388,4656,12,4.497156,5.497928,24.192180
389,4668,12,5.075001,5.472547,24.234242
390,4680,12,6.315962,5.460725,24.268280
391,4692,12,4.390431,5.405325,24.312280
392,4704,12,4.821427,5.367050,24.344308
393,4716,12,5.689116,5.341245,24.376391
394,4728,12,5.138344,5.369556,24.413387
395,4740,12,5.605932,5.398317,24.449426
396,4752,12,5.877080,5.391885,24.480427
397,4764,12,4.314678,5.355673,24.512431
398,4776,12,6.125723,5.359002,24.545457
399,4788,12,5.611121,5.361803,24.579928
400,4800,12,4.842062,5.356346,24.612929
401,4812,12,5.128007,5.327812,24.645440
402,4824,12,5.177910,5.315214,24.679974
403,4836,12,5.738905,5.308183,24.712072
404,4848,12,5.721118,5.295961,24.747573
405,4860,12,5.490364,5.290626,24.778567
406,4872,12,4.843717,5.324495,24.816567
407,4884,12,5.627799,5.311485,24.849082
408,4896,12,5.495819,5.277578,24.880085
409,4908,12,5.539055,5.291006,24.923259
410,4920,12,4.119177,5.259601,24.963205
411,4932,12,6.114224,5.259331,25.002210
412,4944,12,5.579709,5.315193,25.042832
413,4956,12,5.013063,5.335830,25.076941
414,4968,12,5.963501,5.371370,25.119149
415,4980,12,4.669077,5.305494,25.164817
