#{"t_start": 1776726740.923051, "env_id": "None"}
r,l,t
5.61424,12,5.217459
5.73455,12,5.26196
4.970454,12,5.303948
5.616685,12,5.356343
3.119569,12,5.395071
5.975384,12,5.432969
6.010135,12,5.47285
3.703895,12,5.525823
4.881565,12,5.570686
5.304512,12,5.617678
5.156486,12,5.651374
5.061521,12,5.688989
5.895749,12,5.724486
5.042278,12,5.761386
4.668304,12,5.796687
5.850528,12,5.834248
5.476869,12,5.870747
5.582489,12,5.910339
5.532403,12,5.950055
5.173309,12,5.988636
5.485434,12,6.034778
5.110569,12,6.070847
4.512125,12,6.107526
4.173513,12,6.146006
4.498271,12,6.184953
5.498751,12,6.22583
5.695788,12,6.263208
5.615503,12,6.299577
4.919689,12,6.341878
5.615996,12,6.383178
5.687332,12,6.420195
5.116755,12,6.455721
5.86188,12,6.492249
4.006077,12,6.529458
5.12648,12,6.565257
5.431138,12,6.611556
5.145152,12,6.650281
4.641827,12,6.686723
4.030918,12,6.722105
4.839623,12,6.769455
5.535079,12,6.80925
5.391432,12,6.846927
4.583917,12,7.541708
6.123664,12,7.579982
5.356928,12,7.626465
4.695974,12,7.664942
3.580061,12,7.706218
5.929889,12,7.744202
5.650798,12,7.777244
5.151508,12,7.814227
4.989529,12,7.847268
6.071117,12,7.883332
5.253191,12,7.925241
5.703388,12,7.957532
5.887939,12,8.004009
5.446076,12,8.036869
5.852791,12,8.071503
5.762471,12,8.100631
5.278717,12,8.135891
6.289577,12,8.171958
5.4808,12,8.202121
5.768758,12,8.238677
4.541192,12,8.268995
5.739392,12,8.302227
4.295627,12,8.334754
4.772101,12,8.379654
5.031088,12,8.419326
5.841975,12,8.458461
5.094446,12,8.493261
6.003001,12,8.53549
5.579912,12,8.566636
5.338534,12,8.602156
4.5279,12,8.640549
4.692969,12,8.717261
5.031954,12,8.772446
4.204082,12,8.825452
6.147385,12,8.864967
4.783249,12,8.895972
6.034843,12,8.925975
4.724795,12,8.961487
4.851278,12,8.990482
5.937058,12,9.023486
5.578155,12,9.058649
5.042582,12,9.09265
5.593472,12,9.128652
5.365879,12,9.572809
5.903545,12,9.609803
6.084211,12,9.652618
5.092135,12,9.698116
5.723804,12,9.742796
3.379856,12,9.781186
4.76104,12,9.824191
5.382328,12,9.864694
5.33267,12,9.899699
6.082761,12,9.936052
4.633949,12,9.972152
4.851283,12,10.010151
5.914954,12,10.049008
4.458311,12,10.083096
5.29635,12,10.124093
4.81416,12,10.155614
5.914773,12,10.188615
5.121649,12,10.221617
6.003324,12,10.259329
5.017113,12,10.303713
5.37112,12,10.355029
6.185154,12,10.397028
5.700324,12,10.431033
4.949879,12,10.472068
5.615905,12,10.505067
4.815186,12,10.537596
4.894989,12,10.569725
5.066501,12,10.601724
5.35448,12,10.64224
4.802335,12,10.680886
5.819567,12,10.714885
5.521644,12,10.759395
5.798844,12,10.794402
4.963038,12,10.844465
4.746629,12,10.878686
5.779454,12,10.918684
4.146192,12,10.955927
6.213945,12,10.991926
5.248154,12,11.026084
4.540996,12,11.064104
5.091806,12,11.096131
6.244611,12,11.133631
4.777008,12,11.180626
5.223914,12,11.700877
6.735668,12,11.739783
5.992343,12,11.790718
5.983907,12,11.831352
4.34283,12,11.875597
4.025117,12,11.920436
5.782442,12,11.95808
4.315554,12,12.002248
6.190187,12,12.04276
5.862552,12,12.084434
4.85984,12,12.117433
6.086353,12,12.153626
5.455091,12,12.185643
5.257902,12,12.217628
6.717216,12,12.250484
6.012882,12,12.286018
4.410055,12,12.330028
5.160262,12,12.363539
5.349442,12,12.404178
6.514863,12,12.442697
4.803,12,12.487698
5.853659,12,12.523703
4.052345,12,12.559794
5.504934,12,12.593794
5.375156,12,12.636827
6.000396,12,12.675827
4.975827,12,12.720832
5.882634,12,12.768346
5.150724,12,12.811349
5.84382,12,12.847742
4.865853,12,12.887352
5.290953,12,12.925354
5.934101,12,12.957025
6.137167,12,12.996131
4.171105,12,13.037574
5.308268,12,13.074349
6.516666,12,13.107354
4.096277,12,13.140291
4.682168,12,13.17129
5.486731,12,13.20208
5.037583,12,13.243504
4.950809,12,13.282423
6.042864,12,13.737489
5.609921,12,13.772116
3.988252,12,13.805112
5.626405,12,13.84165
4.832172,12,13.877654
5.341385,12,13.911649
4.666488,12,13.951949
5.529453,12,14.012017
4.745079,12,14.058457
5.368328,12,14.095684
6.341282,12,14.130326
6.448878,12,14.164669
3.84377,12,14.205662
5.095132,12,14.241036
4.689719,12,14.281037
4.947136,12,14.312539
5.683466,12,14.359251
6.107149,12,14.392263
5.696063,12,14.42947
6.007944,12,14.474107
4.514874,12,14.510105
4.359212,12,14.557876
5.524303,12,14.602366
