#{"t_start": 1775802262.372729, "env_id": "None"}
r,l,t
8.282479,12,14.503051
9.123194,12,14.534202
8.809855,12,14.56421
7.704322,12,14.594728
8.459944,12,14.626726
7.966778,12,14.656728
8.410834,12,14.687257
7.904674,12,14.721335
7.552224,12,14.756086
9.403301,12,14.79617
8.221155,12,14.831219
7.980938,12,14.863019
8.40499,12,14.894377
7.441854,12,14.934375
7.695973,12,14.967937
7.920299,12,15.003312
7.816667,12,15.040576
9.221096,12,15.074102
7.909707,12,15.106097
8.253793,12,15.13633
6.676244,12,15.175652
7.877478,12,15.205653
8.094981,12,15.237155
7.363656,12,15.268157
9.786091,12,15.304691
7.539738,12,15.334693
7.93574,12,15.363718
6.971727,12,15.394232
8.334669,12,15.428227
10.15602,12,15.465333
7.760778,12,15.495846
9.277698,12,15.533062
7.955974,12,15.564968
8.530475,12,15.598567
8.77394,12,15.935124
6.899147,12,15.968044
8.050191,12,15.998558
8.606603,12,16.030784
7.002289,12,16.068462
6.894186,12,16.102009
8.118868,12,16.132023
7.778797,12,16.163997
8.431576,12,16.199519
7.48095,12,16.230501
6.307237,12,16.26151
8.695981,12,16.291038
7.601349,12,16.321023
6.526309,12,16.351024
8.156359,12,16.386636
6.650974,12,16.415629
7.209466,12,16.450537
7.640969,12,16.481046
7.794548,12,16.51105
8.164647,12,16.541046
9.548565,12,16.571559
9.18193,12,16.612582
7.782425,12,16.652824
8.540693,12,16.69164
8.431089,12,16.726221
6.45367,12,16.756219
7.55281,12,16.786745
7.927287,12,16.81674
8.482989,12,16.84774
8.676066,12,16.884262
7.717391,12,16.914261
8.199298,12,16.944264
8.508349,12,16.974781
7.224906,12,17.004913
8.616129,12,17.035916
7.258038,12,17.072436
8.00312,12,17.111441
9.512538,12,17.143441
8.215275,12,17.174471
7.013147,12,17.205471
7.555309,12,17.236475
7.719463,12,17.268565
7.429033,12,17.297188
8.392148,12,17.61489
8.281688,12,17.64389
7.964634,12,17.674418
7.786105,12,17.70451
7.189784,12,17.734413
9.411899,12,17.771529
8.051376,12,17.808223
9.141322,12,17.837225
7.713609,12,17.868867
6.67303,12,17.900512
6.731956,12,17.929511
8.039828,12,17.958992
8.385861,12,17.987638
7.980682,12,18.025543
8.961182,12,18.056545
8.892726,12,18.089845
7.937154,12,18.120844
9.855567,12,18.154849
8.396214,12,18.18594
8.638072,12,18.216588
8.507744,12,18.246592
8.714468,12,18.277185
7.985936,12,18.30619
7.088377,12,18.336679
6.488313,12,18.365686
8.152169,12,18.401297
8.004973,12,18.431211
8.991751,12,18.461218
6.944738,12,18.491737
8.249115,12,18.520739
8.967585,12,18.551735
8.461983,12,18.582249
10.314401,12,18.613245
8.155451,12,18.643552
8.740589,12,18.673555
8.407458,12,18.70369
7.010628,12,18.741191
6.140226,12,18.78388
7.749672,12,18.817998
8.199557,12,18.852875
8.154234,12,18.883588
7.158592,12,18.914993
7.975144,12,18.9509
8.213314,12,19.272489
