episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
148,1776,12,8.187052,8.149981,9.605503
149,1788,12,7.655423,8.120393,9.633505
150,1800,12,7.861057,8.081300,9.664827
151,1812,12,7.487354,8.031147,9.692820
152,1824,12,9.455636,8.065889,9.722819
153,1836,12,8.391524,8.053329,9.751822
154,1848,12,7.760745,8.016771,9.780342
155,1860,12,7.166280,7.953074,9.815357
156,1872,12,9.133125,7.996063,9.848358
157,1884,12,9.392583,8.059338,9.876810
158,1896,12,6.914242,7.998826,9.905810
159,1908,12,8.116435,8.018630,9.935810
160,1920,12,8.618788,8.081692,9.964819
161,1932,12,8.772065,8.140865,9.993337
162,1944,12,9.261020,8.149284,10.026767
163,1956,12,8.049250,8.200327,10.057454
164,1968,12,7.523936,8.237822,10.087827
165,1980,12,7.847211,8.170928,10.128477
166,1992,12,9.090014,8.219443,10.157220
167,2004,12,8.584337,8.252260,10.186093
168,2016,12,8.208025,8.234272,10.215089
169,2028,12,8.592573,8.320419,10.244105
170,2040,12,7.407239,8.199327,10.272608
171,2052,12,8.604387,8.215144,10.615326
172,2064,12,7.091808,8.206884,10.652418
173,2076,12,7.258687,8.169750,10.682523
174,2088,12,8.706707,8.211801,10.712591
175,2100,12,7.680099,8.204563,10.743575
176,2112,12,8.062300,8.227561,10.777711
177,2124,12,7.482095,8.148619,10.810096
178,2136,12,7.888090,8.128482,10.841399
179,2148,12,7.231357,8.107306,10.872625
180,2160,12,9.546202,8.202503,10.903752
181,2172,12,7.728014,8.146299,10.934917
182,2184,12,7.311590,8.063059,10.971604
183,2196,12,7.032464,8.067788,11.002693
184,2208,12,9.204675,8.111317,11.034607
185,2220,12,9.374593,8.141550,11.067835
186,2232,12,7.525323,8.091680,11.109832
187,2244,12,8.481351,8.060493,11.165518
188,2256,12,7.148641,8.024469,11.230644
189,2268,12,7.953384,8.041647,11.305215
190,2280,12,6.904544,8.003940,11.361676
191,2292,12,6.797873,7.912254,11.402923
192,2304,12,6.894471,7.844660,11.438019
193,2316,12,7.315327,7.808952,11.478174
194,2328,12,7.993745,7.784999,11.507329
195,2340,12,7.124913,7.773706,11.546170
196,2352,12,8.032261,7.750821,11.582789
197,2364,12,6.941926,7.744825,11.615771
198,2376,12,7.523044,7.755400,11.650773
199,2388,12,7.906246,7.723381,11.678469
200,2400,12,8.788122,7.767702,11.707578
201,2412,12,8.371767,7.780081,11.735491
202,2424,12,9.308732,7.853146,11.763468
203,2436,12,8.333581,7.870966,11.798017
204,2448,12,7.381057,7.876954,11.825203
205,2460,12,7.592787,7.798817,11.855247
206,2472,12,7.782485,7.800996,11.882391
207,2484,12,8.804035,7.860694,11.910578
208,2496,12,8.576800,7.922467,11.948685
209,2508,12,8.339484,7.887860,11.992223
210,2520,12,7.505531,7.813097,12.041194
211,2532,12,7.952935,7.830202,12.100418
212,2544,12,9.263169,7.861474,12.148469
213,2556,12,8.201134,7.903574,12.196960
214,2568,12,10.190207,7.993047,12.623475
215,2580,12,7.124046,8.001827,12.651559
216,2592,12,7.380872,8.025147,12.685538
217,2604,12,7.843115,8.063093,12.713789
218,2616,12,8.659188,8.116847,12.748904
219,2628,12,8.133898,8.122453,12.780564
220,2640,12,7.718730,8.146206,12.810611
221,2652,12,8.097588,8.148819,12.837609
222,2664,12,8.106852,8.195416,12.865784
223,2676,12,8.688218,8.242023,12.901899
224,2688,12,9.505913,8.306010,12.929913
225,2700,12,7.448366,8.252420,12.963901
226,2712,12,8.583319,8.260882,12.991517
227,2724,12,7.648345,8.194466,13.019534
228,2736,12,8.714674,8.209710,13.046517
229,2748,12,8.933480,8.271807,13.076032
230,2760,12,8.064163,8.290662,13.103031
231,2772,12,7.968746,8.298112,13.137074
232,2784,12,7.929980,8.263150,13.165083
233,2796,12,8.732989,8.269398,13.195351
234,2808,12,8.987946,8.295336,13.228440
235,2820,12,8.183598,8.322459,13.256349
236,2832,12,9.791885,8.396017,13.290893
237,2844,12,8.515297,8.366102,13.322895
238,2856,12,9.232073,8.407340,13.350900
239,2868,12,8.631219,8.344980,13.383423
240,2880,12,6.900624,8.336043,13.420421
