#{"t_start": 1776060277.0153494, "env_id": "None"}
r,l,t
-0.191419,12,2.843338
-0.1436,12,2.878175
-0.173323,12,2.907243
-0.142122,12,2.942058
-0.144642,12,2.970675
-0.163788,12,3.003589
-0.189673,12,3.036359
-0.158995,12,3.066509
-0.180785,12,3.100101
-0.143793,12,3.128505
-0.17175,12,3.15978
-0.134023,12,3.188262
-0.193294,12,3.227554
-0.171276,12,3.262124
-0.160799,12,3.296411
-0.157214,12,3.326545
-0.172749,12,3.358942
-0.141304,12,3.390178
-0.165702,12,3.423223
-0.18545,12,3.453125
-0.16008,12,3.489259
-0.16003,12,3.517364
-0.185814,12,3.546115
-0.168654,12,3.574223
-0.169164,12,3.614318
-0.164094,12,3.642841
-0.13623,12,3.673279
-0.168355,12,3.701182
-0.178363,12,3.729764
-0.166816,12,3.757598
-0.143981,12,3.791611
-0.18342,12,3.820112
-0.136738,12,3.849379
-0.142274,12,3.877289
-0.166088,12,3.908852
-0.17486,12,3.935532
-0.152879,12,3.97015
-0.140824,12,4.00301
-0.161223,12,4.030529
-0.181951,12,4.06032
-0.171186,12,4.099054
-0.169494,12,4.134835
-0.129908,12,4.788506
-0.156262,12,4.816412
-0.165019,12,4.845211
-0.177966,12,4.874709
-0.185849,12,4.903353
-0.144871,12,4.937799
-0.181372,12,4.971058
-0.179954,12,5.003168
-0.190913,12,5.045801
-0.169895,12,5.082513
-0.16198,12,5.114307
-0.158882,12,5.151785
-0.161477,12,5.181357
-0.185189,12,5.218324
-0.166289,12,5.248224
-0.161887,12,5.27671
-0.177332,12,5.312391
-0.137609,12,5.340039
-0.165792,12,5.376119
-0.152851,12,5.411105
-0.164862,12,5.441833
-0.169098,12,5.477891
-0.108933,12,5.505736
-0.140403,12,5.542486
-0.185163,12,5.569672
-0.172681,12,5.598418
-0.140404,12,5.62689
-0.175135,12,5.661522
-0.15268,12,5.708518
-0.188577,12,5.736843
-0.152149,12,5.764996
-0.175565,12,5.793591
-0.165563,12,5.825802
-0.167705,12,5.855506
-0.134514,12,5.883959
-0.156496,12,5.921783
-0.191257,12,5.95845
-0.185658,12,5.986402
-0.178197,12,6.017111
-0.125595,12,6.051117
-0.157096,12,6.07987
-0.168375,12,6.107802
-0.189678,12,6.137168
-0.15916,12,6.493668
-0.169202,12,6.52262
-0.160573,12,6.567135
-0.153563,12,6.597651
-0.174433,12,6.634205
-0.165144,12,6.673066
-0.177099,12,6.706438
-0.15291,12,6.737849
-0.128485,12,6.771684
-0.193656,12,6.801837
-0.127393,12,6.831838
-0.151308,12,6.86352
-0.154455,12,6.897063
-0.137115,12,6.939243
-0.138595,12,6.97022
-0.151684,12,7.008122
-0.19639,12,7.037908
-0.170354,12,7.068478
-0.181793,12,7.103298
-0.160314,12,7.138864
-0.156591,12,7.179944
-0.165087,12,7.213776
-0.191755,12,7.248586
-0.155286,12,7.290913
-0.156619,12,7.330289
-0.157569,12,7.36024
-0.166766,12,7.394958
-0.185082,12,7.426541
-0.184111,12,7.469328
-0.139924,12,7.503916
-0.193516,12,7.534606
-0.190383,12,7.5644
-0.177873,12,7.595984
-0.150145,12,7.626034
-0.185284,12,7.655958
-0.203172,12,7.687062
-0.157608,12,7.729639
-0.16427,12,7.761737
-0.185043,12,7.792946
-0.130765,12,7.824166
-0.161536,12,7.86029
-0.193049,12,7.903246
-0.184547,12,7.934114
-0.152916,12,8.305055
-0.17673,12,8.338182
-0.18243,12,8.371681
-0.140166,12,8.406525
-0.172456,12,8.438893
-0.184219,12,8.470382
-0.176446,12,8.500777
-0.184891,12,8.535471
-0.147116,12,8.565851
-0.155251,12,8.597602
-0.171538,12,8.629632
-0.176032,12,8.659262
-0.12237,12,8.690487
-0.150657,12,8.722899
-0.19026,12,8.753968
-0.156095,12,8.78552
-0.174024,12,8.816113
-0.172258,12,8.852938
-0.182979,12,8.895767
-0.176037,12,8.926306
-0.162597,12,8.961404
-0.189335,12,8.99116
-0.160928,12,9.023195
-0.141036,12,9.060893
-0.168052,12,9.093056
-0.156607,12,9.124161
-0.171649,12,9.154815
-0.155116,12,9.186464
-0.164785,12,9.227687
-0.132796,12,9.266719
-0.134288,12,9.301469
-0.184118,12,9.338883
-0.191867,12,9.379301
-0.174314,12,9.411341
-0.18859,12,9.444975
-0.146056,12,9.476647
-0.180972,12,9.516998
-0.179865,12,9.548957
-0.187328,12,9.586585
-0.166989,12,9.616573
-0.163124,12,9.647146
-0.168052,12,9.67918
-0.170476,12,10.047841
-0.180115,12,10.081325
-0.138515,12,10.125974
