episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,-0.191419,-0.191419,2.843338
2,24,12,-0.143600,-0.167510,2.878175
3,36,12,-0.173323,-0.169447,2.907243
4,48,12,-0.142122,-0.162616,2.942058
5,60,12,-0.144642,-0.159021,2.970675
6,72,12,-0.163788,-0.159816,3.003589
7,84,12,-0.189673,-0.164081,3.036359
8,96,12,-0.158995,-0.163445,3.066509
9,108,12,-0.180785,-0.165372,3.100101
10,120,12,-0.143793,-0.163214,3.128505
11,132,12,-0.171750,-0.163990,3.159780
12,144,12,-0.134023,-0.161493,3.188262
13,156,12,-0.193294,-0.163939,3.227554
14,168,12,-0.171276,-0.164463,3.262124
15,180,12,-0.160799,-0.164219,3.296411
16,192,12,-0.157214,-0.163781,3.326545
17,204,12,-0.172749,-0.164309,3.358942
18,216,12,-0.141304,-0.163030,3.390178
19,228,12,-0.165702,-0.163171,3.423223
20,240,12,-0.185450,-0.164285,3.453125
21,252,12,-0.160080,-0.164085,3.489259
22,264,12,-0.160030,-0.163901,3.517364
23,276,12,-0.185814,-0.164853,3.546115
24,288,12,-0.168654,-0.165012,3.574223
25,300,12,-0.169164,-0.165178,3.614318
26,312,12,-0.164094,-0.164085,3.642841
27,324,12,-0.136230,-0.163790,3.673279
28,336,12,-0.168355,-0.163591,3.701182
29,348,12,-0.178363,-0.165041,3.729764
30,360,12,-0.166816,-0.165928,3.757598
31,372,12,-0.143981,-0.165136,3.791611
32,384,12,-0.183420,-0.164885,3.820112
33,396,12,-0.136738,-0.163995,3.849379
34,408,12,-0.142274,-0.162455,3.877289
35,420,12,-0.166088,-0.163346,3.908852
36,432,12,-0.174860,-0.163471,3.935532
37,444,12,-0.152879,-0.164225,3.970150
38,456,12,-0.140824,-0.162126,4.003010
39,468,12,-0.161223,-0.161724,4.030529
40,480,12,-0.181951,-0.162570,4.060320
41,492,12,-0.171186,-0.163129,4.099054
42,504,12,-0.169494,-0.162999,4.134835
43,516,12,-0.129908,-0.162543,4.788506
44,528,12,-0.156262,-0.162166,4.816412
45,540,12,-0.165019,-0.161348,4.845211
46,552,12,-0.177966,-0.162064,4.874709
47,564,12,-0.185849,-0.163096,4.903353
