episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,6.996845,6.996845,4.996097
2,24,12,6.568660,6.782753,5.029094
3,36,12,6.937730,6.834412,5.059621
4,48,12,6.849397,6.838158,5.092809
5,60,12,6.543138,6.779154,5.123814
6,72,12,8.493341,7.064852,5.164846
7,84,12,7.301905,7.098717,5.193351
8,96,12,6.699365,7.048798,5.228960
9,108,12,7.368239,7.084291,5.259962
10,120,12,7.119801,7.087842,5.288863
11,132,12,7.603154,7.134689,5.317865
12,144,12,8.268129,7.229142,5.350270
13,156,12,7.341159,7.237759,5.381860
14,168,12,6.371995,7.175918,5.413846
15,180,12,6.776683,7.149303,5.440941
16,192,12,7.015872,7.140963,5.469954
17,204,12,7.704828,7.174132,5.500363
18,216,12,6.042526,7.111265,5.529320
19,228,12,7.326911,7.122615,5.561344
20,240,12,6.667929,7.099880,5.589863
21,252,12,6.561837,7.074259,5.629860
22,264,12,7.479817,7.092694,5.658855
23,276,12,6.237810,7.055525,5.687521
24,288,12,6.618474,7.037314,5.716527
25,300,12,6.857781,7.030133,5.748768
26,312,12,6.914660,7.026846,5.798101
27,324,12,7.811804,7.076571,5.834999
28,336,12,7.329368,7.092237,5.866186
29,348,12,6.707279,7.086552,5.901362
30,360,12,6.718669,7.093573,5.932272
31,372,12,6.897388,7.029735,5.964268
32,384,12,7.547640,7.039565,5.997713
33,396,12,7.646464,7.077449,6.029655
34,408,12,7.093028,7.066440,6.063266
35,420,12,8.667072,7.128331,6.096772
36,432,12,6.567495,7.086905,6.124646
37,444,12,7.400349,7.052194,6.152648
38,456,12,7.053162,7.040674,6.181178
39,468,12,6.993264,7.065524,6.213177
40,480,12,6.451130,7.052502,6.247270
41,492,12,6.943252,7.049597,6.277703
42,504,12,7.415627,7.038029,6.307227
43,516,12,7.072476,7.079227,6.966751
44,528,12,6.720097,7.054955,6.995262
45,540,12,7.686974,7.095717,7.032264
46,552,12,7.647461,7.139142,7.069314
47,564,12,7.268789,7.130701,7.100837
48,576,12,7.714497,7.189768,7.132106
49,588,12,8.758552,7.275371,7.162089
50,600,12,6.632720,7.266369,7.193758
51,612,12,6.539054,7.251344,7.226755
52,624,12,7.360078,7.233275,7.254749
53,636,12,7.604731,7.244290,7.283263
54,648,12,8.355344,7.310213,7.318360
55,660,12,7.063746,7.324016,7.362276
56,672,12,6.966155,7.326766,7.394990
57,684,12,7.628713,7.330009,7.423997
58,696,12,7.546573,7.326014,7.457991
59,708,12,7.084011,7.325653,7.486505
60,720,12,7.502624,7.279075,7.515513
61,732,12,5.848492,7.250315,7.542507
62,744,12,7.188048,7.241823,7.572515
63,756,12,7.130491,7.244916,7.601248
64,768,12,7.439762,7.262776,7.630222
65,780,12,6.523845,7.265684,7.658220
66,792,12,7.027426,7.269051,7.695887
67,804,12,7.572308,7.275319,7.725890
68,816,12,6.845342,7.266233,7.759359
69,828,12,7.291275,7.289080,7.789437
70,840,12,8.395089,7.317405,7.823439
71,852,12,7.513326,7.312040,7.859452
72,864,12,7.837905,7.334804,7.907032
73,876,12,6.263452,7.276762,7.944487
74,888,12,7.539858,7.228015,7.976997
75,900,12,6.979171,7.241873,8.009008
76,912,12,6.611751,7.244781,8.040255
77,924,12,7.697387,7.258273,8.071268
78,936,12,6.756390,7.224339,8.100790
79,948,12,6.094203,7.133894,8.134787
80,960,12,7.191152,7.138990,8.174485
81,972,12,7.229972,7.149543,8.210707
82,984,12,7.071310,7.127247,8.289376
83,996,12,7.270687,7.116211,8.322828
84,1008,12,7.800261,7.144861,8.352947
85,1020,12,6.922140,7.121642,8.381536
86,1032,12,7.583851,7.191056,8.726305
87,1044,12,7.206606,7.191798,8.756305
88,1056,12,6.996496,7.186439,8.786844
89,1068,12,6.556654,7.151114,8.819830
90,1080,12,7.559883,7.192556,8.869595
91,1092,12,6.501896,7.171535,8.905117
92,1104,12,5.897131,7.104528,8.943261
93,1116,12,6.805010,7.102914,8.984804
94,1128,12,6.582311,7.074556,9.019812
95,1140,12,8.114299,7.063324,9.057909
96,1152,12,7.743222,7.072520,9.105708
97,1164,12,7.229803,7.048196,9.142041
98,1176,12,6.233991,7.047017,9.175046
99,1188,12,7.776906,7.056499,9.209557
100,1200,12,7.799713,7.089321,9.244559
101,1212,12,7.266067,7.115494,9.280149
102,1224,12,7.005456,7.087816,9.313648
103,1236,12,6.800278,7.089572,9.345641
104,1248,12,7.380320,7.141017,9.378365
105,1260,12,6.706948,7.121648,9.423370
106,1272,12,7.812227,7.144939,9.462052
107,1284,12,6.817420,7.134783,9.496586
108,1296,12,6.995734,7.123785,9.538586
109,1308,12,7.305790,7.104006,9.574589
110,1320,12,6.993817,7.106873,9.609107
111,1332,12,6.798498,7.075459,9.643212
112,1344,12,6.860713,7.061623,9.678613
113,1356,12,6.631026,7.047005,9.715623
114,1368,12,7.591627,7.088403,9.758618
115,1380,12,6.489439,7.045586,9.791333
116,1392,12,7.357458,7.079808,9.822328
117,1404,12,7.601062,7.147965,9.851337
118,1416,12,7.304262,7.167935,9.881150
119,1428,12,7.316862,7.197318,9.910057
120,1440,12,7.937657,7.190252,9.939062
121,1452,12,7.159307,7.166895,9.969074
122,1464,12,6.795055,7.149505,10.010664
123,1476,12,7.557017,7.202426,10.040676
124,1488,12,6.716914,7.160027,10.070673
125,1500,12,7.083896,7.131394,10.102184
126,1512,12,6.671118,7.107596,10.131184
127,1524,12,7.355606,7.121602,10.161182
128,1536,12,7.461237,7.148040,10.192276
129,1548,12,6.659517,7.119208,10.532053
130,1560,12,5.780381,7.082146,10.561052
131,1572,12,6.580555,7.032879,10.593631
132,1584,12,7.559945,7.062580,10.624585
133,1596,12,6.703890,7.050906,10.652589
134,1608,12,7.041937,7.040352,10.690177
135,1620,12,7.002226,7.040688,10.722185
136,1632,12,6.523259,7.029679,10.757181
137,1644,12,7.983399,7.074586,10.792812
138,1656,12,6.543826,7.071098,10.829817
139,1668,12,6.147343,7.013327,10.859815
140,1680,12,6.487802,7.013261,10.890331
141,1692,12,6.872802,6.993875,10.920339
142,1704,12,6.988193,6.969360,10.958338
143,1716,12,6.561616,6.939654,10.987863
144,1728,12,7.580516,6.950201,11.034862
145,1740,12,7.148390,6.918630,11.074032
146,1752,12,7.700869,6.940292,11.104140
147,1764,12,8.202089,6.996574,11.156818
148,1776,12,7.302118,6.986378,11.195184
149,1788,12,7.420483,7.014521,11.236192
150,1800,12,7.096260,7.015015,11.268107
151,1812,12,8.161457,7.074629,11.298363
152,1824,12,7.091092,7.064048,11.329372
153,1836,12,6.175351,7.012613,11.357363
154,1848,12,7.184100,7.033596,11.386198
155,1860,12,6.794708,7.074169,11.416130
156,1872,12,6.635783,7.076378,11.453197
157,1884,12,5.959577,7.012363,11.482711
158,1896,12,6.642320,7.009901,11.512803
159,1908,12,6.817020,7.000904,11.541711
160,1920,12,7.050750,7.002845,11.570716
161,1932,12,8.133707,7.067263,11.602235
162,1944,12,7.253559,7.038069,11.631990
163,1956,12,7.753649,7.086462,11.662731
164,1968,12,7.198979,7.128528,11.692234
165,1980,12,7.094580,7.152799,11.731745
166,1992,12,7.603069,7.182009,11.775918
167,2004,12,6.172707,7.149390,11.806916
168,2016,12,6.756302,7.157177,11.837495
169,2028,12,6.904814,7.130149,11.870888
170,2040,12,7.298280,7.136145,11.903405
171,2052,12,7.968759,7.146861,12.230873
172,2064,12,7.580663,7.122003,12.260777
173,2076,12,7.615498,7.134539,12.293293
174,2088,12,7.907353,7.154013,12.325300
175,2100,12,6.501404,7.130219,12.356292
176,2112,12,8.245256,7.133571,12.390819
177,2124,12,7.379118,7.145092,12.422839
178,2136,12,7.298929,7.190035,12.462813
179,2148,12,6.244352,7.152445,12.493327
180,2160,12,6.940364,7.158272,12.522336
181,2172,12,7.306555,7.185103,12.552327
182,2184,12,7.193198,7.234447,12.589894
183,2196,12,7.400919,7.264791,12.636609
184,2208,12,7.694200,7.299879,12.671560
185,2220,12,7.325061,7.310851,12.705057
186,2232,12,7.761679,7.295970,12.740414
187,2244,12,6.813179,7.278355,12.776568
188,2256,12,7.554466,7.270387,12.807087
189,2268,12,6.902156,7.258514,12.837078
190,2280,12,7.013832,7.255285,12.867083
191,2292,12,6.789982,7.222761,12.898592
192,2304,12,7.370483,7.270672,12.928593
193,2316,12,7.114919,7.285017,12.966594
194,2328,12,7.268455,7.299562,13.009108
195,2340,12,8.822092,7.360515,13.041108
196,2352,12,7.530590,7.342988,13.076026
197,2364,12,8.140929,7.365399,13.107537
198,2376,12,6.667856,7.327493,13.141549
199,2388,12,7.937748,7.328709,13.175558
200,2400,12,7.259657,7.359039,13.223084
201,2412,12,6.806515,7.301489,13.276095
202,2424,12,6.619587,7.271108,13.321605
203,2436,12,7.164885,7.265746,13.353606
204,2448,12,7.707881,7.324288,13.385120
205,2460,12,7.350043,7.340675,13.416143
206,2472,12,6.702331,7.316506,13.449369
207,2484,12,7.936225,7.346227,13.481891
208,2496,12,7.385847,7.345624,13.513896
209,2508,12,8.011598,7.358320,13.546907
210,2520,12,7.247401,7.355213,13.580920
211,2532,12,6.626454,7.309804,13.613389
212,2544,12,6.719607,7.306062,13.643390
213,2556,12,7.672511,7.310783,13.680250
214,2568,12,7.424157,7.331663,14.035349
215,2580,12,7.275150,7.342116,14.071512
216,2592,12,6.274399,7.321493,14.103881
217,2604,12,7.323393,7.319609,14.134878
218,2616,12,6.735400,7.304428,14.168912
219,2628,12,7.196590,7.301554,14.200428
220,2640,12,7.387612,7.244175,14.232429
221,2652,12,7.168450,7.229689,14.262434
222,2664,12,7.110422,7.188469,14.293972
223,2676,12,6.725115,7.190759,14.328948
224,2688,12,7.598182,7.177176,14.358948
225,2700,12,7.375054,7.181792,14.388979
226,2712,12,7.116334,7.194185,14.419999
227,2724,12,7.171772,7.216273,14.464990
228,2736,12,7.604503,7.233857,14.496513
229,2748,12,6.818968,7.198301,14.528506
230,2760,12,6.836056,7.177741,14.564505
231,2772,12,6.989352,7.189222,14.602056
232,2784,12,6.540211,7.133382,14.637037
233,2796,12,7.538837,7.139501,14.669036
234,2808,12,6.882972,7.094356,14.700581
235,2820,12,7.715940,7.113098,14.731590
236,2832,12,7.687830,7.155553,14.766624
237,2844,12,6.335063,7.140171,14.808335
238,2856,12,6.944752,7.111061,14.848022
239,2868,12,6.731797,7.083366,14.885511
240,2880,12,7.244601,7.082144,14.922041
241,2892,12,6.697869,7.099083,14.955107
242,2904,12,6.747239,7.076037,14.987823
243,2916,12,8.315583,7.139244,15.016826
244,2928,12,7.061469,7.133839,15.053827
245,2940,12,6.617133,7.103020,15.087356
246,2952,12,7.083938,7.099640,15.126734
247,2964,12,6.905064,7.091425,15.158756
248,2976,12,7.068866,7.105175,15.190899
249,2988,12,6.831288,7.074500,15.222898
250,3000,12,7.710260,7.087908,15.256907
251,3012,12,6.610215,7.067663,15.293581
252,3024,12,7.302199,7.072880,15.328423
253,3036,12,6.931561,7.045963,15.358419
254,3048,12,7.807663,7.085510,15.387945
255,3060,12,6.972682,7.090975,15.423021
256,3072,12,7.733321,7.120734,15.455013
257,3084,12,6.955541,7.137347,15.800776
258,3096,12,7.732909,7.145110,15.830778
259,3108,12,7.445701,7.167619,15.867794
260,3120,12,6.648496,7.124922,15.906890
261,3132,12,6.454271,7.075579,15.941895
262,3144,12,7.221806,7.111049,15.989408
263,3156,12,7.193194,7.120987,16.030411
264,3168,12,6.765345,7.122329,16.065408
265,3180,12,7.157883,7.118860,16.099693
266,3192,12,7.735716,7.160374,16.136488
267,3204,12,8.228142,7.219610,16.169539
268,3216,12,7.875531,7.202008,16.204611
269,3228,12,7.759081,7.229912,16.244600
270,3240,12,7.412072,7.261710,16.285121
271,3252,12,7.851869,7.292427,16.323130
272,3264,12,8.012540,7.336726,16.364588
273,3276,12,8.331802,7.387244,16.404121
274,3288,12,6.482625,7.373297,16.454034
275,3300,12,7.999793,7.384878,16.500836
276,3312,12,7.040889,7.402105,16.538000
277,3324,12,8.032029,7.431298,16.571098
278,3336,12,6.042937,7.395754,16.605625
279,3348,12,7.188559,7.370989,16.641601
280,3360,12,6.911507,7.368542,16.672634
281,3372,12,7.781738,7.370479,16.706077
282,3384,12,6.569889,7.355053,16.739075
283,3396,12,6.323667,7.298683,16.787606
284,3408,12,6.864466,7.275434,16.817603
285,3420,12,7.711125,7.317939,16.848603
286,3432,12,7.394598,7.355552,16.879611
287,3444,12,7.412008,7.363160,16.912869
288,3456,12,6.411281,7.331884,16.944864
289,3468,12,6.835206,7.334678,16.976868
290,3480,12,7.287773,7.339874,17.011738
291,3492,12,7.342587,7.324149,17.050410
292,3504,12,6.772396,7.265919,17.087149
293,3516,12,7.665617,7.257522,17.122916
294,3528,12,6.992475,7.226858,17.153919
295,3540,12,7.437743,7.227885,17.185991
296,3552,12,6.830442,7.187028,17.218991
297,3564,12,7.778661,7.177673,17.250044
298,3576,12,7.776336,7.155454,17.282726
299,3588,12,7.173851,7.183103,17.622178
300,3600,12,7.547616,7.165016,17.652691
301,3612,12,7.722745,7.192290,17.683810
302,3624,12,6.578174,7.134136,17.713963
303,3636,12,6.917624,7.169123,17.743941
304,3648,12,7.356372,7.175836,17.774993
305,3660,12,7.308495,7.191715,17.808085
306,3672,12,8.068245,7.203176,17.838136
307,3684,12,7.525977,7.241419,17.869169
308,3696,12,6.953308,7.266605,17.900372
309,3708,12,7.001383,7.272082,17.930377
310,3720,12,6.708573,7.231979,17.959366
311,3732,12,6.297454,7.188094,17.991056
312,3744,12,6.713582,7.160157,18.022054
313,3756,12,6.234398,7.153081,18.052071
314,3768,12,6.831003,7.152913,18.082082
315,3780,12,7.185362,7.148817,18.112629
316,3792,12,6.452202,7.113201,18.148643
317,3804,12,7.389890,7.137901,18.179669
318,3816,12,7.197984,7.119196,18.209203
319,3828,12,7.656273,7.145748,18.248221
320,3840,12,6.517953,7.108956,18.281327
321,3852,12,6.575426,7.098755,18.312949
322,3864,12,7.640392,7.093225,18.343033
323,3876,12,8.096496,7.106031,18.373136
324,3888,12,8.004154,7.139243,18.402859
325,3900,12,8.133457,7.162677,18.432761
326,3912,12,7.439286,7.151339,18.466759
327,3924,12,7.628454,7.193350,18.499290
328,3936,12,6.996782,7.196516,18.533325
329,3948,12,6.514370,7.162836,18.563310
330,3960,12,7.143901,7.156252,18.594045
331,3972,12,6.982409,7.112819,18.632025
332,3984,12,7.783712,7.123128,18.667577
333,3996,12,7.040774,7.126627,18.701222
334,4008,12,6.652777,7.112683,18.731113
335,4020,12,7.585214,7.147748,18.762115
336,4032,12,6.726437,7.164908,18.798673
337,4044,12,7.847496,7.210264,18.838680
338,4056,12,6.815249,7.233498,18.869765
339,4068,12,6.612449,7.224756,18.901265
340,4080,12,6.760412,7.207758,18.933347
341,4092,12,7.877490,7.264769,18.967328
342,4104,12,7.267343,7.259868,19.352381
343,4116,12,7.108216,7.256277,19.383291
344,4128,12,7.411835,7.246499,19.412829
345,4140,12,6.882321,7.261074,19.442840
346,4152,12,7.422268,7.294948,19.473807
347,4164,12,7.576123,7.292377,19.510319
348,4176,12,6.653043,7.234639,19.541319
349,4188,12,6.969188,7.193240,19.575372
350,4200,12,7.353775,7.162053,19.609952
351,4212,12,7.408261,7.160812,19.647858
352,4224,12,6.549320,7.117647,19.679857
353,4236,12,7.848267,7.151706,19.720471
354,4248,12,7.194564,7.178914,19.752689
355,4260,12,7.059581,7.175541,19.784694
356,4272,12,7.748533,7.206186,19.816208
357,4284,12,8.490198,7.234445,19.848205
358,4296,12,7.296614,7.244679,19.882208
359,4308,12,7.636105,7.284012,19.913718
360,4320,12,7.809108,7.292968,19.944746
361,4332,12,7.042161,7.305597,19.976532
362,4344,12,8.044063,7.313459,20.015040
363,4356,12,7.312728,7.333359,20.046042
364,4368,12,6.669358,7.335635,20.079066
365,4380,12,6.965768,7.343849,20.110595
366,4392,12,7.127862,7.313864,20.143691
367,4404,12,7.268201,7.313898,20.178102
368,4416,12,6.219689,7.278357,20.208614
369,4428,12,8.847880,7.335799,20.240621
370,4440,12,7.844072,7.374269,20.270616
371,4452,12,6.713812,7.345931,20.303152
372,4464,12,7.882659,7.358192,20.338151
373,4476,12,6.998494,7.372010,20.370152
374,4488,12,7.221857,7.382117,20.405702
375,4500,12,7.003255,7.368096,20.435697
376,4512,12,7.150371,7.357781,20.464695
377,4524,12,8.834239,7.449178,20.495209
378,4536,12,7.052061,7.417329,20.531219
379,4548,12,7.244736,7.419336,20.566066
380,4560,12,7.379990,7.432153,20.601738
381,4572,12,8.361563,7.456674,20.631736
382,4584,12,7.278834,7.408219,20.662736
383,4596,12,6.292603,7.368059,20.694370
384,4608,12,8.103225,7.386744,20.726361
385,4620,12,7.595803,7.378211,21.067593
386,4632,12,7.155287,7.382736,21.097279
387,4644,12,7.285808,7.352406,21.131167
388,4656,12,6.980561,7.339120,21.162277
389,4668,12,7.766783,7.383017,21.195928
390,4680,12,7.179421,7.391563,21.228855
391,4692,12,6.940933,7.384085,21.260934
