#{"t_start": 1776062937.504927, "env_id": "None"}
r,l,t
6.996845,12,4.996097
6.56866,12,5.029094
6.93773,12,5.059621
6.849397,12,5.092809
6.543138,12,5.123814
8.493341,12,5.164846
7.301905,12,5.193351
6.699365,12,5.22896
7.368239,12,5.259962
7.119801,12,5.288863
7.603154,12,5.317865
8.268129,12,5.35027
7.341159,12,5.38186
6.371995,12,5.413846
6.776683,12,5.440941
7.015872,12,5.469954
7.704828,12,5.500363
6.042526,12,5.52932
7.326911,12,5.561344
6.667929,12,5.589863
6.561837,12,5.62986
7.479817,12,5.658855
6.23781,12,5.687521
6.618474,12,5.716527
6.857781,12,5.748768
6.91466,12,5.798101
7.811804,12,5.834999
7.329368,12,5.866186
6.707279,12,5.901362
6.718669,12,5.932272
6.897388,12,5.964268
7.54764,12,5.997713
7.646464,12,6.029655
7.093028,12,6.063266
8.667072,12,6.096772
6.567495,12,6.124646
7.400349,12,6.152648
7.053162,12,6.181178
6.993264,12,6.213177
6.45113,12,6.24727
6.943252,12,6.277703
7.415627,12,6.307227
7.072476,12,6.966751
6.720097,12,6.995262
7.686974,12,7.032264
7.647461,12,7.069314
7.268789,12,7.100837
7.714497,12,7.132106
8.758552,12,7.162089
6.63272,12,7.193758
6.539054,12,7.226755
7.360078,12,7.254749
7.604731,12,7.283263
8.355344,12,7.31836
7.063746,12,7.362276
6.966155,12,7.39499
7.628713,12,7.423997
7.546573,12,7.457991
7.084011,12,7.486505
7.502624,12,7.515513
5.848492,12,7.542507
7.188048,12,7.572515
7.130491,12,7.601248
7.439762,12,7.630222
6.523845,12,7.65822
7.027426,12,7.695887
7.572308,12,7.72589
6.845342,12,7.759359
7.291275,12,7.789437
8.395089,12,7.823439
7.513326,12,7.859452
7.837905,12,7.907032
6.263452,12,7.944487
7.539858,12,7.976997
6.979171,12,8.009008
6.611751,12,8.040255
7.697387,12,8.071268
6.75639,12,8.10079
6.094203,12,8.134787
7.191152,12,8.174485
7.229972,12,8.210707
7.07131,12,8.289376
7.270687,12,8.322828
7.800261,12,8.352947
6.92214,12,8.381536
