#{"t_start": 1776727621.1165018, "env_id": "None"}
r,l,t
5.61424,12,5.485566
5.73455,12,5.525078
4.970454,12,5.563077
5.616685,12,5.603595
3.119569,12,5.650104
5.975384,12,5.687109
6.010135,12,5.730709
3.703895,12,5.776087
4.881565,12,5.821607
5.304512,12,5.860916
5.156486,12,5.901436
5.061521,12,5.940542
5.895749,12,5.991167
5.042278,12,6.030677
4.668304,12,6.069187
5.850528,12,6.110708
5.476869,12,6.153168
5.582489,12,6.19317
5.532403,12,6.235052
5.173309,12,6.279589
5.485434,12,6.324106
5.110569,12,6.370106
4.512125,12,6.421628
4.173513,12,6.471261
4.498271,12,6.515671
5.498751,12,6.565319
5.695788,12,6.607195
5.615503,12,6.643706
4.919689,12,6.679707
5.615996,12,6.717228
5.687332,12,6.754231
5.116755,12,6.78924
5.86188,12,6.821762
4.006077,12,6.86176
5.12648,12,6.896769
5.431138,12,6.942432
5.145152,12,6.985441
4.641827,12,7.020466
4.030918,12,7.054467
4.839623,12,7.085467
5.535079,12,7.117978
5.391432,12,7.151978
4.583917,12,7.708518
6.123664,12,7.741517
5.356928,12,7.782518
4.695974,12,7.816145
3.580061,12,7.849145
5.929889,12,7.88215
5.650798,12,7.915672
5.151508,12,7.953675
4.989529,12,7.987681
6.071117,12,8.0232
5.253191,12,8.05798
5.703388,12,8.090986
5.887939,12,8.124494
5.446076,12,8.157498
5.852791,12,8.197522
5.762471,12,8.238037
5.278717,12,8.276037
6.289577,12,8.31855
5.4808,12,8.35255
5.768758,12,8.385556
4.541192,12,8.425064
5.739392,12,8.456064
4.295627,12,8.489094
4.772101,12,8.522166
5.031088,12,8.555166
5.841975,12,8.587172
5.094446,12,8.626682
6.003001,12,8.664948
5.579912,12,8.699432
5.338534,12,8.73842
4.5279,12,8.776139
4.692969,12,8.809782
5.031954,12,8.842786
4.204082,12,8.875786
6.147385,12,8.90832
4.783249,12,8.945469
6.034843,12,8.979464
4.724795,12,9.013558
4.851278,12,9.051078
5.937058,12,9.093088
5.578155,12,9.129874
5.042582,12,9.167875
5.593472,12,9.205394
5.365879,12,9.676555
5.903545,12,9.720075
6.084211,12,9.77048
5.092135,12,9.824588
5.723804,12,9.864902
3.379856,12,9.901597
4.76104,12,9.934594
5.382328,12,9.970593
5.33267,12,10.011112
6.082761,12,10.048212
4.633949,12,10.090719
4.851283,12,10.124232
5.914954,12,10.156228
4.458311,12,10.189233
5.29635,12,10.224762
4.81416,12,10.261743
5.914773,12,10.296756
5.121649,12,10.333265
6.003324,12,10.368271
5.017113,12,10.400782
5.37112,12,10.440812
6.185154,12,10.471815
5.700324,12,10.505327
4.949879,12,10.539331
5.615905,12,10.578329
4.815186,12,10.612356
4.894989,12,10.647356
5.066501,12,10.679356
5.35448,12,10.714889
4.802335,12,10.754889
5.819567,12,10.791879
5.521644,12,10.828672
5.798844,12,10.866757
4.963038,12,10.909521
4.746629,12,10.95083
5.779454,12,10.990338
4.146192,12,11.025839
6.213945,12,11.057838
5.248154,12,11.094844
4.540996,12,11.132353
5.091806,12,11.168354
6.244611,12,11.200864
4.777008,12,11.233875
5.223914,12,11.650892
6.735668,12,11.688899
5.992343,12,11.725408
5.983907,12,11.766619
4.34283,12,11.803134
4.025117,12,11.838135
5.782442,12,11.873136
4.315554,12,11.907664
6.190187,12,11.94466
5.862552,12,11.989673
4.85984,12,12.023182
6.086353,12,12.062179
5.455091,12,12.095187
5.257902,12,12.130711
6.717216,12,12.165706
6.012882,12,12.203233
4.410055,12,12.239232
5.160262,12,12.271237
5.349442,12,12.31175
6.514863,12,12.344751
4.803,12,12.388755
5.853659,12,12.430371
4.052345,12,12.463375
5.504934,12,12.494373
5.375156,12,12.526887
6.000396,12,12.566902
4.975827,12,12.612414
5.882634,12,12.659401
5.150724,12,12.69241
5.84382,12,12.725923
4.865853,12,12.758923
5.290953,12,12.792927
5.934101,12,12.82697
6.137167,12,12.85897
4.171105,12,12.892019
5.308268,12,12.92452
6.516666,12,12.958514
4.096277,12,12.991519
4.682168,12,13.028038
5.486731,12,13.067152
5.037583,12,13.10778
4.950809,12,13.147977
6.042864,12,13.553097
5.609921,12,13.590613
3.988252,12,13.627115
5.626405,12,13.666111
4.832172,12,13.710738
5.341385,12,13.785821
4.666488,12,13.823296
5.529453,12,13.866297
4.745079,12,13.912826
5.368328,12,13.957884
6.341282,12,14.005497
6.448878,12,14.0495
3.84377,12,14.099524
5.095132,12,14.15105
4.689719,12,14.195124
4.947136,12,14.233654
5.683466,12,14.285637
6.107149,12,14.334167
5.696063,12,14.383168
6.007944,12,14.419393
4.514874,12,14.462569
4.359212,12,14.506091
5.524303,12,14.549043
4.743509,12,14.590054
4.512698,12,14.630565
5.868455,12,14.668566
5.220424,12,14.700571
5.890734,12,14.732098
5.117769,12,14.772121
5.249201,12,14.802119
4.012789,12,14.847639
6.353352,12,14.884635
5.253852,12,14.925181
6.506835,12,14.957179
5.366845,12,14.998187
5.500199,12,15.032696
6.286163,12,15.062697
5.673198,12,15.093703
5.869258,12,15.131441
5.298304,12,15.208957
5.277531,12,15.276296
4.62884,12,15.320326
6.055409,12,15.358055
5.942184,12,15.729787
6.015716,12,15.762774
5.474448,12,15.791783
5.400467,12,15.822306
6.020806,12,15.854305
5.914418,12,15.894099
6.031892,12,15.925613
5.407892,12,15.973609
5.160218,12,16.013143
4.246195,12,16.046124
4.033502,12,16.080141
4.322392,12,16.116759
4.779821,12,16.162052
5.804867,12,16.197053
5.539737,12,16.232561
5.803057,12,16.270566
4.458531,12,16.304072
5.47061,12,16.337078
4.992423,12,16.36908
6.592614,12,16.410692
5.612392,12,16.447691
5.808794,12,16.482692
5.633025,12,16.51422
4.036546,12,16.54622
5.684946,12,16.590238
5.728596,12,16.629741
6.414308,12,16.664741
5.74317,12,16.696752
5.515379,12,16.729249
5.890628,12,16.760249
5.374386,12,16.796389
5.524365,12,16.833902
5.373759,12,16.874901
5.945642,12,16.917922
4.538369,12,16.962919
5.304066,12,16.998927
5.42305,12,17.03952
6.03968,12,17.07852
4.547304,12,17.121382
6.493536,12,17.17129
5.421587,12,17.223822
3.704074,12,17.274822
4.717641,12,17.326323
6.073353,12,17.863392
5.029167,12,17.916029
4.957415,12,17.957182
5.464797,12,17.999164
5.171785,12,18.03773
