episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,5.614240,5.614240,5.485566
2,24,12,5.734550,5.674395,5.525078
3,36,12,4.970454,5.439748,5.563077
4,48,12,5.616685,5.483982,5.603595
5,60,12,3.119569,5.011100,5.650104
6,72,12,5.975384,5.171814,5.687109
7,84,12,6.010135,5.291574,5.730709
8,96,12,3.703895,5.093114,5.776087
9,108,12,4.881565,5.069609,5.821607
10,120,12,5.304512,5.093099,5.860916
11,132,12,5.156486,5.098861,5.901436
12,144,12,5.061521,5.095750,5.940542
13,156,12,5.895749,5.157288,5.991167
14,168,12,5.042278,5.149073,6.030677
15,180,12,4.668304,5.117022,6.069187
16,192,12,5.850528,5.162866,6.110708
17,204,12,5.476869,5.181337,6.153168
18,216,12,5.582489,5.203623,6.193170
19,228,12,5.532403,5.220927,6.235052
20,240,12,5.173309,5.218546,6.279589
21,252,12,5.485434,5.231255,6.324106
22,264,12,5.110569,5.225769,6.370106
23,276,12,4.512125,5.194741,6.421628
24,288,12,4.173513,5.152190,6.471261
25,300,12,4.498271,5.126033,6.515671
26,312,12,5.498751,5.121414,6.565319
27,324,12,5.695788,5.119863,6.607195
28,336,12,5.615503,5.145665,6.643706
29,348,12,4.919689,5.117786,6.679707
30,360,12,5.615996,5.217643,6.717228
31,372,12,5.687332,5.206121,6.754231
32,384,12,5.116755,5.170385,6.789240
33,396,12,5.861880,5.256705,6.821762
34,408,12,4.006077,5.221685,6.861760
35,420,12,5.126480,5.214564,6.896769
36,432,12,5.431138,5.225550,6.942432
37,444,12,5.145152,5.228895,6.985441
38,456,12,4.641827,5.178738,7.020466
39,468,12,4.030918,5.138284,7.054467
40,480,12,4.839623,5.145137,7.085467
41,492,12,5.535079,5.132519,7.117978
42,504,12,5.391432,5.129101,7.151978
43,516,12,4.583917,5.089158,7.708518
44,528,12,6.123664,5.112809,7.741517
45,540,12,5.356928,5.120154,7.782518
46,552,12,4.695974,5.088575,7.816145
47,564,12,3.580061,5.027355,7.849145
48,576,12,5.929889,5.084065,7.882150
49,588,12,5.650798,5.143157,7.915672
50,600,12,5.151508,5.169286,7.953675
51,612,12,4.989529,5.148917,7.987681
52,624,12,6.071117,5.163931,8.023200
53,636,12,5.253191,5.149438,8.057980
54,648,12,5.703388,5.180786,8.090986
55,660,12,5.887939,5.191664,8.124494
56,672,12,5.446076,5.182014,8.157498
57,684,12,5.852791,5.211455,8.197522
58,696,12,5.762471,5.207479,8.238037
59,708,12,5.278717,5.258384,8.276037
60,720,12,6.289577,5.304908,8.318550
61,732,12,5.480800,5.306895,8.352550
62,744,12,5.768758,5.331839,8.385556
63,756,12,4.541192,5.327813,8.425064
64,768,12,5.739392,5.396152,8.456064
65,780,12,4.295627,5.374393,8.489094
66,792,12,4.772101,5.343873,8.522166
67,804,12,5.031088,5.329460,8.555166
68,816,12,5.841975,5.379782,8.587172
69,828,12,5.094446,5.338613,8.626682
70,840,12,6.003001,5.364456,8.664948
71,852,12,5.579912,5.399814,8.699432
72,864,12,5.338534,5.470153,8.738420
73,876,12,4.527900,5.414073,8.776139
74,888,12,4.692969,5.375760,8.809782
75,900,12,5.031954,5.370978,8.842786
76,912,12,4.204082,5.339560,8.875786
77,924,12,6.147385,5.342611,8.908320
78,936,12,4.783249,5.323813,8.945469
79,948,12,6.034843,5.337071,8.979464
80,960,12,4.724795,5.290545,9.013558
81,972,12,4.851278,5.266753,9.051078
82,984,12,5.937058,5.270124,9.093088
83,996,12,5.578155,5.262752,9.129874
84,1008,12,5.042582,5.253306,9.167875
85,1020,12,5.593472,5.225462,9.205394
86,1032,12,5.365879,5.220865,9.676555
87,1044,12,5.903545,5.226257,9.720075
88,1056,12,6.084211,5.287977,9.770480
89,1068,12,5.092135,5.262087,9.824588
90,1080,12,5.723804,5.319214,9.864902
91,1092,12,3.379856,5.263524,9.901597
92,1104,12,4.761040,5.252722,9.934594
93,1116,12,5.382328,5.234337,9.970593
94,1128,12,5.332670,5.243865,10.011112
95,1140,12,6.082761,5.247056,10.048212
96,1152,12,4.633949,5.209217,10.090719
97,1164,12,4.851283,5.189727,10.124232
98,1176,12,5.914954,5.245209,10.156228
99,1188,12,4.458311,5.235823,10.189233
100,1200,12,5.296350,5.246399,10.224762
101,1212,12,4.814160,5.270802,10.261743
102,1224,12,5.914773,5.261498,10.296756
103,1236,12,5.121649,5.275034,10.333265
104,1248,12,6.003324,5.273773,10.368271
105,1260,12,5.017113,5.285466,10.400782
106,1272,12,5.371120,5.306259,10.440812
107,1284,12,6.185154,5.316183,10.471815
108,1296,12,5.700324,5.321070,10.505327
109,1308,12,4.949879,5.317362,10.539331
110,1320,12,5.615905,5.318259,10.578329
111,1332,12,4.815186,5.296231,10.612356
112,1344,12,4.894989,5.255889,10.647356
113,1356,12,5.066501,5.215181,10.679356
