episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
1,12,12,7.959197,7.959197,0.509829
2,24,12,8.207862,8.083530,0.512541
3,36,12,8.026822,8.064627,0.515169
4,48,12,8.956884,8.287691,0.517800
5,60,12,7.209621,8.072077,0.520397
6,72,12,8.216588,8.096162,0.522981
7,84,12,6.646811,7.889112,0.525546
8,96,12,8.792884,8.002084,0.528132
9,108,12,8.633672,8.072260,0.530724
10,120,12,8.046656,8.069700,0.533285
11,132,12,7.643062,8.030914,0.535857
12,144,12,8.754438,8.091208,0.538427
13,156,12,8.528801,8.124869,0.540985
14,168,12,7.952648,8.112568,0.543541
15,180,12,9.101334,8.178485,0.546102
16,192,12,8.561829,8.202444,0.548668
17,204,12,8.554473,8.223152,0.551286
18,216,12,9.254080,8.280426,0.553855
19,228,12,7.819678,8.256176,0.556407
20,240,12,7.239853,8.205360,0.558974
21,252,12,8.389730,8.214139,0.561527
22,264,12,7.957396,8.202469,0.564095
23,276,12,8.464352,8.213855,0.566658
24,288,12,8.021472,8.205839,0.569231
25,300,12,7.737649,8.187112,0.571792
26,312,12,7.777797,8.179856,0.574338
27,324,12,8.154857,8.177735,0.576889
28,336,12,8.398253,8.192593,0.579446
29,348,12,8.117120,8.159002,0.581981
30,360,12,8.792620,8.222322,0.584533
31,372,12,7.958441,8.211996,0.587090
32,384,12,8.470636,8.284949,0.589646
33,396,12,7.923209,8.250162,0.592187
34,408,12,7.176191,8.191863,0.594737
35,420,12,8.556613,8.212261,0.597280
36,432,12,8.143576,8.232282,0.599827
37,444,12,8.518101,8.222828,0.602363
38,456,12,9.064784,8.244268,0.604900
39,468,12,10.261278,8.336613,0.607452
40,480,12,8.530972,8.313798,0.609999
41,492,12,8.212741,8.299835,0.612532
42,504,12,6.656779,8.223927,0.615085
43,516,12,8.220581,8.182587,0.716732
44,528,12,7.517464,8.170499,0.719531
45,540,12,8.579946,8.224102,0.722248
46,552,12,8.727667,8.237620,0.724913
47,564,12,8.856232,8.273573,0.727571
48,576,12,6.978850,8.214153,0.730219
49,588,12,8.458623,8.231639,0.732842
50,600,12,8.972944,8.281051,0.735479
51,612,12,8.244782,8.299730,0.738137
52,624,12,8.862958,8.328054,0.740777
53,636,12,6.936188,8.269572,0.743407
54,648,12,8.679547,8.292069,0.746124
55,660,12,9.209991,8.308764,0.748745
56,672,12,8.502178,8.330513,0.751396
57,684,12,7.706820,8.299961,0.754041
58,696,12,8.288830,8.314585,0.756687
59,708,12,8.124849,8.352532,0.759359
60,720,12,8.745840,8.360101,0.761978
61,732,12,7.340986,8.327997,0.764577
62,744,12,7.345302,8.281085,0.767185
63,756,12,8.799494,8.270474,0.769776
64,768,12,8.122793,8.184934,0.772402
65,780,12,9.766505,8.234356,0.774997
66,792,12,7.880896,8.221082,0.777607
67,804,12,7.168375,8.241546,0.780196
68,816,12,9.280074,8.283925,0.782803
69,828,12,8.220257,8.312037,0.785389
70,840,12,8.204893,8.297035,0.787986
71,852,12,7.775422,8.258945,0.790564
72,864,12,8.280664,8.235922,0.793149
73,876,12,7.723237,8.265698,0.795742
74,888,12,7.505784,8.227584,0.798320
75,900,12,8.206049,8.196909,0.800904
76,912,12,8.340781,8.200749,0.803478
77,924,12,9.275810,8.217263,0.806102
78,936,12,9.025584,8.300838,0.808683
79,948,12,7.029775,8.234848,0.811274
80,960,12,8.429761,8.203638,0.813841
81,972,12,7.998054,8.183473,0.816425
82,984,12,7.551200,8.177249,0.819019
83,996,12,8.310830,8.178129,0.821617
84,1008,12,8.664099,8.199699,0.824241
85,1020,12,7.896521,8.165726,0.826854
86,1032,12,8.446475,8.209945,0.901812
87,1044,12,8.781350,8.267387,0.904617
88,1056,12,8.810107,8.267812,0.907302
89,1068,12,7.841896,8.256576,0.909966
90,1080,12,8.470712,8.204744,0.912617
91,1092,12,8.010051,8.209910,0.915262
92,1104,12,8.838536,8.276717,0.917887
93,1116,12,7.689104,8.213078,0.920500
94,1128,12,8.527237,8.225357,0.923131
95,1140,12,8.707189,8.245449,0.925747
96,1152,12,8.847026,8.288313,0.928358
97,1164,12,7.257954,8.247405,0.930974
98,1176,12,8.716105,8.287120,0.933565
99,1188,12,8.149021,8.312849,0.936159
100,1200,12,7.938366,8.302142,0.938742
101,1212,12,7.878536,8.283652,0.941394
102,1224,12,7.131194,8.197867,0.943998
103,1236,12,8.658521,8.183185,0.946601
104,1248,12,8.196525,8.229855,0.949203
105,1260,12,7.389805,8.188257,0.951813
106,1272,12,6.825929,8.141372,0.954432
107,1284,12,8.766773,8.189994,0.957025
108,1296,12,8.999324,8.217534,0.959617
109,1308,12,8.329327,8.204143,0.962225
110,1320,12,8.289023,8.219843,0.964817
111,1332,12,9.075577,8.245008,0.967433
112,1344,12,8.018076,8.214477,0.970035
113,1356,12,8.888812,8.217625,0.972668
114,1368,12,7.939812,8.221541,0.975249
115,1380,12,9.190558,8.250335,0.977862
116,1392,12,9.197589,8.297837,0.980455
117,1404,12,9.096239,8.308145,0.983053
118,1416,12,9.349955,8.374579,0.985646
119,1428,12,7.894248,8.349259,0.988242
120,1440,12,7.208688,8.289319,0.990847
121,1452,12,8.490926,8.275075,0.993469
122,1464,12,9.198601,8.352701,0.996101
123,1476,12,7.661032,8.310498,0.998691
124,1488,12,8.106753,8.308808,1.001279
125,1500,12,7.950322,8.309286,1.003856
126,1512,12,8.685333,8.341558,1.006447
127,1524,12,8.723878,8.405265,1.009035
128,1536,12,8.181260,8.386175,1.011693
129,1548,12,8.841931,8.411991,1.086215
130,1560,12,8.718180,8.465126,1.089004
131,1572,12,9.007827,8.552402,1.091724
