#{"t_start": 1775534778.5891929, "env_id": "None"}
r,l,t
7.959197,12,0.509829
8.207862,12,0.512541
8.026822,12,0.515169
8.956884,12,0.5178
7.209621,12,0.520397
8.216588,12,0.522981
6.646811,12,0.525546
8.792884,12,0.528132
8.633672,12,0.530724
8.046656,12,0.533285
7.643062,12,0.535857
8.754438,12,0.538427
8.528801,12,0.540985
7.952648,12,0.543541
9.101334,12,0.546102
8.561829,12,0.548668
8.554473,12,0.551286
9.25408,12,0.553855
7.819678,12,0.556407
7.239853,12,0.558974
8.38973,12,0.561527
7.957396,12,0.564095
8.464352,12,0.566658
8.021472,12,0.569231
7.737649,12,0.571792
7.777797,12,0.574338
8.154857,12,0.576889
8.398253,12,0.579446
8.11712,12,0.581981
8.79262,12,0.584533
7.958441,12,0.58709
8.470636,12,0.589646
7.923209,12,0.592187
7.176191,12,0.594737
8.556613,12,0.59728
8.143576,12,0.599827
8.518101,12,0.602363
9.064784,12,0.6049
10.261278,12,0.607452
8.530972,12,0.609999
8.212741,12,0.612532
6.656779,12,0.615085
8.220581,12,0.716732
7.517464,12,0.719531
8.579946,12,0.722248
8.727667,12,0.724913
8.856232,12,0.727571
6.97885,12,0.730219
8.458623,12,0.732842
8.972944,12,0.735479
8.244782,12,0.738137
8.862958,12,0.740777
6.936188,12,0.743407
8.679547,12,0.746124
9.209991,12,0.748745
8.502178,12,0.751396
7.70682,12,0.754041
8.28883,12,0.756687
8.124849,12,0.759359
8.74584,12,0.761978
7.340986,12,0.764577
7.345302,12,0.767185
8.799494,12,0.769776
8.122793,12,0.772402
9.766505,12,0.774997
7.880896,12,0.777607
7.168375,12,0.780196
9.280074,12,0.782803
8.220257,12,0.785389
8.204893,12,0.787986
7.775422,12,0.790564
8.280664,12,0.793149
7.723237,12,0.795742
7.505784,12,0.79832
8.206049,12,0.800904
8.340781,12,0.803478
9.27581,12,0.806102
9.025584,12,0.808683
7.029775,12,0.811274
8.429761,12,0.813841
7.998054,12,0.816425
7.5512,12,0.819019
8.31083,12,0.821617
8.664099,12,0.824241
7.896521,12,0.826854
8.446475,12,0.901812
8.78135,12,0.904617
8.810107,12,0.907302
7.841896,12,0.909966
8.470712,12,0.912617
8.010051,12,0.915262
8.838536,12,0.917887
7.689104,12,0.9205
8.527237,12,0.923131
8.707189,12,0.925747
8.847026,12,0.928358
7.257954,12,0.930974
8.716105,12,0.933565
8.149021,12,0.936159
7.938366,12,0.938742
7.878536,12,0.941394
7.131194,12,0.943998
8.658521,12,0.946601
8.196525,12,0.949203
7.389805,12,0.951813
6.825929,12,0.954432
8.766773,12,0.957025
8.999324,12,0.959617
8.329327,12,0.962225
8.289023,12,0.964817
9.075577,12,0.967433
8.018076,12,0.970035
8.888812,12,0.972668
7.939812,12,0.975249
9.190558,12,0.977862
9.197589,12,0.980455
9.096239,12,0.983053
9.349955,12,0.985646
7.894248,12,0.988242
7.208688,12,0.990847
8.490926,12,0.993469
9.198601,12,0.996101
7.661032,12,0.998691
8.106753,12,1.001279
7.950322,12,1.003856
8.685333,12,1.006447
8.723878,12,1.009035
8.18126,12,1.011693
8.841931,12,1.086215
8.71818,12,1.089004
9.007827,12,1.091724
7.817663,12,1.094659
7.41494,12,1.09754
8.524406,12,1.100244
7.621087,12,1.102911
9.537784,12,1.105552
7.653154,12,1.108243
8.811626,12,1.11091
8.160719,12,1.113543
7.561828,12,1.116184
7.627146,12,1.118815
7.823925,12,1.121452
9.068684,12,1.124066
8.794054,12,1.126699
8.894313,12,1.12934
8.353751,12,1.131959
8.476154,12,1.134591
8.06434,12,1.137215
8.142324,12,1.139848
8.718962,12,1.142474
8.615736,12,1.145136
8.31956,12,1.147785
8.581576,12,1.150412
8.807201,12,1.153027
8.352404,12,1.155654
8.550533,12,1.158275
9.128087,12,1.160889
8.04772,12,1.163496
9.097395,12,1.166113
8.315428,12,1.168739
8.632259,12,1.171382
9.225533,12,1.17402
8.142484,12,1.176636
8.359668,12,1.179248
7.967566,12,1.181855
8.19499,12,1.184468
7.316744,12,1.187147
8.839038,12,1.189796
9.40211,12,1.192443
7.538172,12,1.195053
9.212555,12,1.270525
7.982191,12,1.273313
9.103631,12,1.276013
8.821165,12,1.278699
8.995052,12,1.281386
8.256967,12,1.284048
8.156777,12,1.286691
8.928884,12,1.289385
8.88242,12,1.292031
8.776737,12,1.294661
9.760875,12,1.297304
9.118729,12,1.299928
7.885779,12,1.302621
8.870735,12,1.30525
6.72006,12,1.307889
8.963583,12,1.310524
6.861565,12,1.313162
7.639888,12,1.315791
10.007229,12,1.318408
7.820421,12,1.321034
8.488788,12,1.323645
7.482159,12,1.326268
7.818,12,1.328898
7.928933,12,1.331536
7.159104,12,1.334158
9.003371,12,1.336781
7.699567,12,1.339397
